STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA,ENGLISH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
17,湖,hú,Danh từ,hồ,"hồ, hồ nước",lake,湖,TRUE,这个湖的风景好像一张美丽的画儿。,Cảnh quan hồ này đẹp như một bức tranh.
18,西贡,xīgòng,Danh từ,tây cống,Sài Gòn,Saigon,西贡,TRUE,西贡的车太多了，真的让人累得不想出去玩儿。,Ở Sài Gòn có quá nhiều xe cộ khiến bạn mệt mỏi và không muốn ra ngoài vui chơi.
19,胡志明市,húzhìmíngshì,Danh từ,Hồ Chí Minh Thị,Thành phố Hồ Chí Minh,Ho Chi Minh City,胡志明市,TRUE,胡志明市是一个很现代的城市。,Thành phố Hồ Chí Minh là một thành phố rất hiện đại.
20,舒服,shūfu,Tính từ,thư phục,"thoải mái, dễ chịu",Comfortable,舒服,TRUE,这件衣服穿得很舒服。,Bộ trang phục này rất thoải mái khi mặc.
21,感冒,gǎnmào,Động từ,cảm mạo,bị cảm,cold,感冒,TRUE,我已经感冒了一个星期了，现在还没好。,Tôi bị cảm lạnh cả tuần nay rồi mà vẫn chưa khỏi.
22,发烧,fāshāo,Động từ ly hợp,phát thiêu,"bị sốt, sốt",fever,发烧,TRUE,儿子正发高烧，请医生来看看吧。,Con trai tôi bị sốt cao; xin hãy gọi bác sĩ đến khám.
23,检查,jiǎnchá,Động từ,kiểm tra,kiểm tra,examine,检查,TRUE,你的作业被老师检查好了吗？,Bài tập về nhà của bạn đã được giáo viên kiểm tra chưa?
24,健康,jiànkāng,Tính từ,kiện khang,khỏe mạnh,healthy,健康,TRUE,为了身体康，我们一定要多运动运动。,"Vì sức khỏe của chúng ta, chúng ta phải tập thể dục nhiều hơn."
25,担心,dānxīn,Động từ,đảm tâm,lo lắng,Worry,担心,TRUE,别担心，我没什么事儿呢。,"Đừng lo, tôi vẫn ổn."
26,最近,zuìjìn,Tính từ,tối cận,"gần đây, dạo này",recent,最近,TRUE,你最近工作怎么样？,Dạo này công việc thế nào?
27,疼,téng,Tính từ,đông,"đau, nhức, buốt",pain,疼,TRUE,每次考试后，我的头都很疼。,Tôi luôn bị đau đầu sau mỗi kỳ thi.
28,头,tóu,Danh từ,đầu,đầu,head,头,TRUE,每次考试后，我的头都很疼。,Tôi luôn bị đau đầu sau mỗi kỳ thi.
29,久,jiǔ,Tính từ,cửu,"lâu, dài",Long,久,TRUE,我们很久没见面，再见你很高兴。,"Đã lâu rồi chúng ta chưa gặp nhau, và tôi rất vui khi được gặp lại bạn."
30,片,piàn,Lượng từ,phiến,"viên, tấm, bức",piece,片,TRUE,这种药你应该吃两片，饭后吃。,Bạn nên uống hai viên thuốc này sau bữa ăn.
31,种,zhǒng,Lượng từ,chủng,"loại, kiểu, chủng loại",kind,种,TRUE,这种动物是从哪儿来的？,Con vật này đến từ đâu?
32,质量,zhìliàng,Danh từ,chất lượng,chất lượng,quality,质量,TRUE,根据哪儿些标准是我们的生活质量被评价的？,Chúng ta sử dụng những tiêu chuẩn nào để đánh giá chất lượng cuộc sống của mình?
33,带,dài,Động từ,đới,"đem, mang",bring,带,TRUE,妈妈带来很多我爱吃的水果。,Mẹ tôi mang về rất nhiều loại trái cây mà tôi thích.
34,搬,bān,Động từ,ban,"chuyển, dời",move,搬,TRUE,,
35,脸,liǎn,Danh từ,kiểm,"mặt, khuôn mặt",Face,脸,TRUE,,
36,安静,ānjìng,Tính từ,an tĩnh,"yên lặng, yên tĩnh, yên bình",Quiet,安静,TRUE,,
37,阿姨,āyí,Danh từ,a di,"cô, dì, mợ, thím, bác gái",Aunt,阿姨,TRUE,,
38,帮忙,bāngmáng,Động từ ly hợp,bang mang,giúp đỡ,help,帮忙,TRUE,,
39,需要,xūyào,Động từ,nhu yếu,cần phải,need,需要,TRUE,,
40,热情,rèqíng,Tính từ,nhiệt tình,nhiệt tình,enthusiasm,热情,TRUE,,
41,以后,yǐhòu,Danh từ,dĩ hậu,"về sau, sau này, sau khi",after,以后,TRUE,,
42,行李箱,xínglixiāng,Danh từ,hành lý tương,"vali, hành lý",suitcase,行李箱,TRUE,,
43,行为,xíngwéi,Danh từ,hành vi,hành vi,Behavior,行为,TRUE,,
44,行动,xíngdòng,Danh từ,hành động,hành động,action,行动,TRUE,,
45,银行,yínháng,Danh từ,ngân hàng,ngân hàng,bank,银行,TRUE,,
46,行业,hángyè,Danh từ,hành nghiệp,"nghề, ngành nghề",industry,行业,TRUE,,
47,其他,qítā,Đại từ,kỳ tha,"khác, cái khác",other,其他,TRUE,,
48,见面,jiànmiàn,Động từ ly hợp,kiến diện,"gặp mặt, gặp nhau",Meet,见面,TRUE,,
49,结婚,jiéhūn,Động từ ly hợp,kết hôn,"kết hôn, cưới, lấy nhau",marry,结婚,TRUE,,
50,洗澡,xǐzǎo,Động từ ly hợp,tẩy táo,"tắm, tắm rửa",bath,洗澡,TRUE,,
51,一共,yīgòng,Phó từ,nhất cộng,"tổng cộng, tất cả",Total,一共,TRUE,,
52,还是,háishi,Liên từ,hoàn thị,"hay là, hoặc",still,还是,TRUE,,
53,或者,huòzhě,Liên từ,hoặc giả,"hoặc, hay",or,或者,TRUE,,
54,光溜,guāngliū,Tính từ,quang lưu,"trơ trụi, nhẵn bóng",Smooth,光溜,TRUE,,
55,冷冰冰,lěngbīngbīng,Tính từ,lãnh băng băng,"lạnh lùng, lạnh buốt, lạnh tanh",cold,冷冰冰,TRUE,,
56,整洁,zhěngjié,Tính từ,chỉnh khiết,"ngăn nắp sạch sẽ, gọn gàng sạch sẽ",tidy,整洁,TRUE,,
57,美丽,měilì,Tính từ,mỹ lệ,"xinh đẹp, đẹp đẽ",beauty,美丽,TRUE,,
58,借,jiè,Động từ,tá,"mượn, vay",borrow,借,TRUE,,
59,世界,shìjiè,Danh từ,thế giới,thế giới,world,世界,TRUE,,
60,历史,lìshǐ,Danh từ,lịch sử,lịch sử,history,历史,TRUE,,
61,数学,shùxué,Danh từ,số học,toán học,math,数学,TRUE,,
62,体育,tǐyù,Danh từ,thể dục,thể dục,physical education,体育,TRUE,,
63,文化,wénhuà,Danh từ,văn hóa,văn hóa,culture,文化,TRUE,,
64,文学,wénxué,Danh từ,văn học,văn học,literature,文学,TRUE,,
65,化学,huàxué,Danh từ,hóa học,hóa học,Chemical,化学,TRUE,,
66,地理,dìlǐ,Danh từ,địa lý,địa lý,geography,地理,TRUE,,
67,音乐,yīnyuè,Danh từ,âm nhạc,âm nhạc,music,音乐,TRUE,,
68,发现,fāxiàn,Động từ,phát hiện,phát hiện,Discover,发现,TRUE,,
69,认真,rènzhēn,Tính từ,nhận chân,"nghiêm túc, chăm chỉ",serious,认真,TRUE,,
70,完成,wánchéng,Động từ,hoàn thành,hoàn thành,Finish,完成,TRUE,,
71,作业,zuòyè,Danh từ,tác nghiệp,bài tập về nhà,Operation,作业,TRUE,,
72,了解,liǎojiě,Động từ,liễu giải,"hiểu rõ, tìm hiểu, biết",learn,了解,TRUE,,
73,旅游,lǚyóu,Động từ,lữ du,du lịch,travel,旅游,TRUE,,
74,旅行,lǚxíng,Động từ,lữ hành,du lịch,travel,旅行,TRUE,,
75,经常,jīngcháng,Phó từ,kinh thường,thường xuyên,often,经常,TRUE,,
76,刚,gāng,Phó từ,cương,"vừa, vừa mới",Just,刚,TRUE,,
77,刚才,gāngcái,Danh từ,cương tài,"vừa nãy, lúc nãy, ban nãy",Just now,刚才,TRUE,,
78,如果,rúguǒ,Liên từ,như quả,"nếu như, nếu",if,如果,TRUE,,
79,感兴趣,gǎnxìngqù,Động từ,cảm hứng thú,"thích, có hứng thú",interested,感兴趣,TRUE,,
80,有兴趣,yǒu xìngqù,Động từ,hữu hứng thú,"thích, có hứng thú",interested in,有兴趣,TRUE,,
81,辆,liàng,Lượng từ,lượng,chiếc (xe cộ),vehicle,辆,TRUE,,
82,楼,lóu,Danh từ,lâu,"tòa nhà, lầu",building,楼,TRUE,,
83,电子,diànzǐ,Danh từ,điện tử,điện tử,electronic,电子,TRUE,,
84,电子邮件,diànzǐyóujiàn,Danh từ,điện tử bưu kiện,"email, thư điện tử",e-mail,电子邮件,TRUE,,
85,发,fā,Động từ,phát,"phát, giao, gửi",hair,发,TRUE,,
86,会议,huìyì,Danh từ,hội nghị,"cuộc họp, hội nghị",Meeting,会议,TRUE,,
87,周末,zhōumò,Danh từ,chu mạt,cuối tuần,weekend,周末,TRUE,,
88,花园,huāyuán,Danh từ,hoa viên,"vườn hoa, hoa viên",garden,花园,TRUE,,
89,超市,chāoshì,Danh từ,siêu thị,siêu thị,supermarket,超市,TRUE,,
90,同事,tóngshì,Danh từ,đồng sự,đồng nghiệp,colleague,同事,TRUE,,
91,办公室,bàngōngshì,Danh từ,biện công thất,văn phòng,office,办公室,TRUE,,
92,经理,jīnglǐ,Danh từ,kinh lý,giám đốc,manager,经理,TRUE,,
93,电梯,diàntī,Danh từ,điện thê,thang máy,elevator,电梯,TRUE,,
94,方便,fāngbiàn,Tính từ,phương tiện,"thuận tiện, tiện nghi",convenient,方便,TRUE,,
95,便宜,piányi,Tính từ,tiện nghi,"rẻ, giá rẻ",Cheap,便宜,TRUE,,
96,胖,pàng,Tính từ,bàn,"béo, mập, ú",fat,胖,TRUE,,
97,瘦,shòu,Tính từ,sấu,"gầy, ốm",thin,瘦,TRUE,,
98,米,mǐ,Lượng từ,mễ,mét (chiều dài),rice,米,TRUE,,
99,个子,gèzi,Danh từ,cá tử,"dáng người, vóc dáng",Height,个子,TRUE,,
100,矮,ǎi,Tính từ,ải,"thấp, lùn",short,矮,TRUE,,
101,鼻子,bízi,Danh từ,tị tử,cái mũi,nose,鼻子,TRUE,,
102,耳朵,ěrduo,Danh từ,nhĩ đóa,cái tai,ear,耳朵,TRUE,,
103,眼睛,yǎnjīng,Danh từ,nhãn tình,mắt,Eye,眼睛,TRUE,,
104,眼镜,yǎnjìng,Danh từ,nhãn kính,mắt kính,Glasses,眼镜,TRUE,,
105,腿,tuǐ,Danh từ,thối,chân,leg,腿,TRUE,,
106,脚,jiǎo,Danh từ,cước,bàn chân,foot,脚,TRUE,,
107,头发,tóufa,Danh từ,đầu phát,tóc,hair,头发,TRUE,,
108,嘴巴,zuǐba,Danh từ,chủy ba,"miệng, mồm",mouth,嘴巴,TRUE,,
109,甜,tián,Tính từ,điềm,ngọt,sweet,甜,TRUE,,
110,像,xiàng,Động từ,tượng,"giống, giống như",picture,像,TRUE,,
111,爬山,páshān,Động từ ly hợp,ba sơn,leo núi,climb mountains,爬山,TRUE,,
112,怎么办,zěnmebàn,Thán từ,chẩm ma biện,"phải làm sao, làm thế nào",what to do,怎么办,TRUE,,
113,一样,yīyàng,Tính từ,nhất dạng,giống nhau,Same,一样,TRUE,,
114,特点,tèdiǎn,Danh từ,đặc điểm,đặc điểm,Features,特点,TRUE,,
115,站,zhàn,Danh từ,trạm,"ga, trạm, bến xe; đứng (động từ)",stand,站,TRUE,,
116,参加,cānjiā,Động từ,tham gia,"tham gia, tham dự",join,参加,TRUE,,
117,比赛,bǐsài,Danh từ,tỉ tái,"trận đấu, cuộc thi",Contest,比赛,TRUE,,
118,讲,jiǎng,Động từ,giảng,"giảng, kể, nói",speak,讲,TRUE,,
119,骑,qí,Động từ,kỵ,"cưỡi, đi",ride,骑,TRUE,,
120,聊天儿,liáotiānr,Động từ,liêu thiên,"nói chuyện phiếm, trò chuyện, tán gẫu",Chat,聊天儿,TRUE,,
121,上网,shàngwǎng,Động từ,thượng võng,lên mạng,Internet,上网,TRUE,,
122,说话,shuōhuà,Động từ,thuyết thoại,nói chuyện,say,说话,TRUE,,
123,饱,bǎo,Tính từ,bão,"no, no nê",full,饱,TRUE,,
124,抱,bào,Động từ,bão,"ôm, ẵm, bế, bồng",hug,抱,TRUE,,
125,抱住,bàozhù,Động từ,bão trú,ôm chặt lấy,Hug,抱住,TRUE,,
126,画,huà,Động từ,họa,"vẽ, vẽ tranh",painting,画,TRUE,,
127,张,zhāng,Lượng từ,trương,"tấm, bức",open,张,TRUE,,
128,幅,fú,Lượng từ,phúc,"tấm, bức",frame,幅,TRUE,,
129,结束,jiéshù,Động từ,kết thúc,"kết thúc, chấm dứt",Finish,结束,TRUE,,
130,蓝,lán,Tính từ,lam,xanh da trời,blue,蓝,TRUE,,
131,黄,huáng,Tính từ,hoàng,vàng,yellow,黄,TRUE,,
132,绿,lǜ,Tính từ,lục,"xanh lá cây, lục",green,绿,TRUE,,
133,着,zhe,Trợ từ,trước,đang,Wearing,着,TRUE,,
134,当然,dāngrán,Phó từ,đương nhiên,"đương nhiên, tất nhiên",certainly,当然,TRUE,,
135,放,fàng,Động từ,phóng,"đặt, để",put,放,TRUE,,
136,幸福,xìngfú,Tính từ,hạnh phúc,hạnh phúc,happiness,幸福,TRUE,,
137,祝福,zhùfú,Động từ,chúc phúc,chúc phúc,bless,祝福,TRUE,,
138,条,tiáo,Lượng từ,điều,"lượng từ cho quần áo, con đường, con cá...",strip,条,TRUE,,
139,花,huā,Động từ,hoa,"tiêu, xài, dùng",flower,花,TRUE,,
140,角,jiǎo,Danh từ,giác,hào = 1/10 tệ,horn,角,TRUE,,
141,鞋子,xiézi,Danh từ,hài tử,giày,shoe,鞋子,TRUE,,
142,双,shuāng,Lượng từ,song,"đôi, hai, song",pair,双,TRUE,,
143,把,bǎ,Lượng từ,bả,"chiếc, cái (dùng cho vật có tay cầm như dù, ghế, dao...)",Bundle,把,TRUE,,
144,裙子,qúnzi,Danh từ,quần tử,váy,skirt,裙子,TRUE,,
145,裤子,kùzi,Danh từ,khố tử,quần,Pants,裤子,TRUE,,
146,衬衫,chènshān,Danh từ,sấn sam,áo sơ mi,shirt,衬衫,TRUE,,
147,冰箱,bīngxiāng,Danh từ,băng sương,tủ lạnh,refrigerator,冰箱,TRUE,,
148,冰淇淋,bīngqílín,Danh từ,băng kỳ lâm,"kem, cây kem",ice cream,冰淇淋,TRUE,,
149,蛋糕,dàngāo,Danh từ,đản cao,"bánh gato, bánh ngọt, bánh kem",cake,蛋糕,TRUE,,
150,果汁,guǒzhī,Danh từ,quả trấp,"nước ép, nước trái cây",juice,果汁,TRUE,,
151,客人,kèrén,Danh từ,khách nhân,"khách, khách hàng",guest,客人,TRUE,,
152,旅客,lǚkè,Danh từ,lữ khách,"hành khách, du khách",Passengers,旅客,TRUE,,
153,花瓶,huāpíng,Danh từ,hoa bình,"bình hoa, lọ hoa",vase,花瓶,TRUE,,
154,故事,gùshi,Danh từ,cố sự,"truyện, câu chuyện",story,故事,TRUE,,
155,宝贝,bǎobèi,Danh từ,bảo bối,bảo bối,baby,宝贝,TRUE,,
156,咱们,zánmen,Đại từ,cha môn,"chúng ta, chúng mình, bọn mình (cả người nói và người nghe)",we,咱们,TRUE,,
157,笔记本,bǐjìběn,Danh từ,bút ký bản,"vở, sổ ghi chép",notebook,笔记本,TRUE,,
158,笔记本电脑,bǐjìběndiànnǎo,Danh từ,bút ký bản điện não,"laptop, máy tính xách tay",Laptop,笔记本电脑,TRUE,,
159,自己,zìjǐ,Danh từ,tự kỷ,"bản thân, tự, tự mình",Own,自己,TRUE,,
160,办法,bànfǎ,Danh từ,biện pháp,"biện pháp, cách, cách làm",way,办法,TRUE,,
161,重要,zhòngyào,Tính từ,trọng yếu,quan trọng,important,重要,TRUE,,
162,照相机,zhàoxiàngjī,Danh từ,chiếu tướng cơ,"camera, máy ảnh",camera,照相机,TRUE,,
163,着急,zháojí,Tính từ,trước cấp,"sốt ruột, lo lắng, vội vàng",in a hurry,着急,TRUE,,
164,打算,dǎsuàn,Danh từ,đả toán,kế hoạch ,Intend,打算,TRUE,,
165,换,huàn,Động từ,hoán,"đổi, hoán đổi, thay",Change,换,TRUE,,
166,努力,nǔlì,Tính từ,nỗ lực,"nỗ lực, chăm chỉ, cố gắng",effort,努力,TRUE,,
167,司机,sījī,Danh từ,ty cơ,tài xế,driver,司机,TRUE,,
168,极了,jíle,Phó từ,cực liễu,"cực kỳ, vô cùng",Excellent,极了,TRUE,,
169,特别,tèbié,Phó từ,đặc biệt,"cực kỳ, vô cùng",special,特别,TRUE,,
170,特别是,tèbié shì,Danh từ,đặc biệt thị,"nhất là, đặc biệt là",in particular,特别是,TRUE,,
171,多么,duōme,Phó từ,đa ma,"làm sao, quá, thật",how,多么,TRUE,,
172,躺,tǎng,Động từ,thảng,nằm,lie,躺,TRUE,,
173,汤,tāng,Danh từ,thang,"canh, súp",Soup,汤,TRUE,,
174,糖,táng,Danh từ,đường,đường,sugar,糖,TRUE,,
175,记得,jìde,Động từ,ký đắc,"nhớ, nhớ là",Remember,记得,TRUE,,
176,记住,jìzhu,Động từ,ký trú,"ghi nhớ, khắc ghi",remember,记住,TRUE,,
177,忘记,wàngjì,Động từ,võng ký,"quên, lãng quên",forget,忘记,TRUE,,
178,灯,dēng,Danh từ,đăng,cái đèn,lamp,灯,TRUE,,
179,空调,kōngtiáo,Danh từ,không điều,"máy lạnh, điều hòa",air conditioner,空调,TRUE,,
180,空气,kōngqì,Danh từ,không khí,không khí,Air,空气,TRUE,,
181,离开,líkāi,Động từ,li khai,"rời xa, rời bỏ, rời đi",leave,离开,TRUE,,
182,关心,guānxīn,Động từ,quan tâm,quan tâm,care,关心,TRUE,,
183,低,dī,Tính từ,đê,thấp (dùng cho vật),Low,低,TRUE,,
184,节目,jiémù,Danh từ,tiết mục,"tiết mục, chương trình",programme,节目,TRUE,,
185,礼物,lǐwù,Danh từ,lễ vật,món quà,Gift,礼物,TRUE,,
186,旧,jiù,Tính từ,cựu,cũ (vật),old,旧,TRUE,,
187,老,lǎo,Tính từ,lão,"già, cũ (người)",old,老,TRUE,,
188,决定,juédìng,Danh từ,quyết định,quyết định,Decide,决定,TRUE,,
189,解决,jiějué,Động từ,giải quyết,giải quyết,solve,解决,TRUE,,
190,小心,xiǎoxīn,Tính từ,tiểu tâm,cẩn thận,careful,小心,TRUE,,
191,一般,yībān,Tính từ,nhất ban,thông thường,generally,一般,TRUE,,
192,年轻,niánqīng,Tính từ,niên khinh,"trẻ tuổi, còn trẻ, trẻ trung",young,年轻,TRUE,,
193,还,huán,Động từ,hoàn,"hoàn, trả",return,还,TRUE,,
194,词典,cídiǎn,Danh từ,từ điển,từ điển,dictionary,词典,TRUE,,
195,铅笔,qiānbǐ,Danh từ,diên bút,bút chì,pencil,铅笔,TRUE,,
196,黑板,hēibǎn,Danh từ,hắc bản,bảng đen,blackboard,黑板,TRUE,,
197,打扫,dǎsǎo,Động từ,đả táo,"quét dọn, dọn dẹp",clean,打扫,TRUE,,
198,变,biàn,Động từ,biến,"thay đổi, biến thành",Change,变,TRUE,,
199,变化,biànhuà,Động từ,biến hóa,"biến đổi, biến thành",change,变化,TRUE,,
200,改变,gǎibiàn,Động từ,cải biến,"thay đổi, biến đổi, thay",Change,改变,TRUE,,
201,游戏,yóuxì,Danh từ,du hí,"trò chơi, game",game,游戏,TRUE,,
202,复习,fùxí,Động từ,phúc tập,ôn tập,review,复习,TRUE,,
203,校长,xiàozhǎng,Danh từ,hiệu trưởng,hiệu trưởng,headmaster,校长,TRUE,,
204,分,fēn,Động từ,phân,"phân chia (công việc, đồ vật...)",point,分,TRUE,,
205,年级,niánjí,Danh từ,niên cấp,lớp,grade,年级,TRUE,,
206,叶子,yèzi,Danh từ,diệp tử,lá cây,leaf,叶子,TRUE,,
207,椰子,yēzi,Danh từ,gia tử,"cây dừa, quả dừa",coconut,椰子,TRUE,,
208,热闹,rènao,Tính từ,nhiệt náo,"náo nhiệt, sôi động",lively,热闹,TRUE,,
209,安静,ānjìng,Tính từ,an tĩnh,"yên lặng, yên tĩnh, yên bình",Quiet,安静,TRUE,,
210,就,jiù,Phó từ,tựu,"thì, liền, đã...",At once,就,TRUE,,
211,才,cái,Phó từ,tài,mới,talent,才,TRUE,,
212,购物车,gòuwùchē,Danh từ,cấu vật xa,giỏ hàng,shopping cart,购物车,TRUE,,
213,购物,gòuwù,Động từ,cấu vật,mua sắm,Shopping,购物,TRUE,,
214,平时,píngshí,Danh từ,bình thời,"bình thường, như thường lệ",usually,平时,TRUE,,
215,接,jiē,Động từ,tiếp,"đón, tiếp (người, điện thoại)",catch,接,TRUE,,
216,必须,bìxū,Động từ,tất tu,"phải, nhất định phải",must,必须,TRUE,,
217,附近,fùjìn,Danh từ,phụ cận,"gần đây, lân cận",nearby,附近,TRUE,,
218,信用卡,xìnyòngkǎ,Danh từ,tín dụng ca,thẻ tín dụng,credit card,信用卡,TRUE,,
219,叔叔,shūshu,Danh từ,thúc thúc,chú,uncle,叔叔,TRUE,,
220,地铁,dìtiě,Danh từ,địa thiết,tàu điện ngầm,subway,地铁,TRUE,,
221,帽子,màozi,Danh từ,mạo tử,"cái nón, mũ (lượng từ: 顶，个)",hat,帽子,TRUE,,
222,奇怪,qíguài,Tính từ,kỳ quái,"kỳ lạ, quái lạ, kỳ quái",strangeness,奇怪,TRUE,,
223,层,céng,Danh từ,tầng,tầng,layer,层,TRUE,,
224,城市,chéngshì,Danh từ,thành thị,thành phố,City,城市,TRUE,胡志明市是一个很现代的城市。,
225,农村,nóngcūn,Danh từ,nông thôn,nông thôn,rural areas,农村,TRUE,,
226,葡萄,pútao,Danh từ,bồ đào,nho,Grape,葡萄,TRUE,,
227,香蕉,xiāngjiāo,Danh từ,hương tiêu,chuối,banana,香蕉,TRUE,,
228,最后,zuìhòu,Tính từ,tối hậu,cuối cùng,at last,最后,TRUE,,
229,洗衣机,xǐyījī,Danh từ,tẩy y cơ,máy giặt,washing machine,洗衣机,TRUE,,
230,新鲜,xīnxiān,Tính từ,tân tiên,"tươi, tươi ngon; trong lành; mới mẻ",Fresh,新鲜,TRUE,,
231,草,cǎo,Danh từ,thảo,cỏ,Grass,草,TRUE,,
232,环境,huánjìng,Danh từ,hoàn cảnh,"môi trường, hoàn cảnh",environment,环境,TRUE,,
233,厨房,chúfáng,Danh từ,trù phòng,"nhà bếp, phòng phếp",kitchen,厨房,TRUE,,
234,饮料,yǐnliào,Danh từ,ẩm liệu,"đồ uống, nước uống",drinks,饮料,TRUE,,
235,啤酒,píjiǔ,Danh từ,ti tửu,bia,beer,啤酒,TRUE,,
236,红酒,hóngjiǔ,Danh từ,hồng tửu,"rượu vang, rượu đỏ",wine,红酒,TRUE,,
237,清楚,qīngchu,"Tính từ, Động từ",thanh sở,"rõ ràng, rõ; hiểu rõ, nắm rõ",clear,清楚,TRUE,,
238,船,chuán,Danh từ,thuyền,thuyền,Boat,船,TRUE,,
239,刷牙,shuāyá,Động từ,loát nha,"đánh răng, chảy răng",brush teeth,刷牙,TRUE,,
240,牙刷,yáshuā,Danh từ,nha loát,bàn chải đánh răng,toothbrush,牙刷,TRUE,,
241,答案,dáàn,Danh từ,đáp án,đáp án,Answer,答案,TRUE,,
242,回答,huídá,Động từ,hồi đáp,trả lời,answer,回答,TRUE,,
243,首先,shǒuxiān,Liên từ,thủ tiên,"đầu tiên, trước tiên",first,首先,TRUE,,
244,然后,ránhòu,Liên từ,nhiên hậu,"sau đó, tiếp đó",Then,然后,TRUE,,
245,节目,jiémù,Danh từ,tiết mục,"tiết mục, chương trình",programme,节目,TRUE,,
246,饭馆,fànguǎn,Danh từ,phạn quán,"nhà hàng, quán ăn",restaurant,饭馆,TRUE,,
247,菜单,càidān,Danh từ,thái đơn,"thực đơn, menu",menu,菜单,TRUE,,
248,筷子,kuàizi,Danh từ,khoái tử,cái đũa,Chopsticks,筷子,TRUE,,
249,盘子,pánzi,Danh từ,bàn tử,"cái đĩa, mâm",plate,盘子,TRUE,,
250,碗,wǎn,Danh từ,oản,cái bát,bowl,碗,TRUE,,
251,渴,kě,Tính từ,khát,khát nước,thirsty,渴,TRUE,,
252,饱,bǎo,Tính từ,bão,"no, no nê",full,饱,TRUE,,
253,饿,è,Tính từ,ngạ,"đói bụng, đói",Hungry,饿,TRUE,,
254,点,diǎn,Động từ,điểm,gọi món,point,点,TRUE,,
255,突然,tūrán,Phó từ,đột nhiên,"đột nhiên, bỗng nhiên",Sudden,突然,TRUE,,
256,明白,míngbai,Động từ,minh bạch,"hiểu rõ, hiểu",clear,明白,TRUE,,
257,继续,jìxù,Động từ,kế tục,tiếp tục,continue,继续,TRUE,,
258,短信,duǎnxìn,Danh từ,đoản tín,tin nhắn,Short message,短信,TRUE,,
259,沙拉,shālā,Danh từ,sa lạp,salad,salad,沙拉,TRUE,,
260,可乐,kělè,Danh từ,khả lạc,coca cola,Cola,可乐,TRUE,,
261,瓶,píng,Lượng từ,bình,"bình, chai, lọ",bottle,瓶,TRUE,,
262,应该,yīnggāi,Động từ,ưng cai,nên; chắc là,should,应该,TRUE,,
