STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA,ENGLISH,ÔN TẬP,CHECK,CÂU VÍ DỤ
193,打电话,dǎdiànhuà,,,gọi điện thoại,Call up,,FALSE,
194,开会,kāihuì,,,cuộc họp,Meeting,,FALSE,
195,衣服,yīfú,,,"quần áo, trang phục",clothing,,FALSE,
196,件,jiàn,,,"(lượng từ cho quần áo, sự việc,...)",Item,,FALSE,
197,爷爷,yéye,,,ông nội,grandfather,,FALSE,
198,奶奶,nǎinai,,,bà nội,grandmother,,FALSE,
199,动,dòng,,,"di chuyển, động đậy",move,,FALSE,
200,漂亮,piàoliang,,,xinh đẹp,pretty,,FALSE,
201,新,xīn,,,mới,new,,FALSE,
202,东西,dōngxi,,,"đồ đạc, món đồ, thứ",thing,,FALSE,
203,骑,qí,,,"cưỡi, đi (xe đạp, ngựa, mô tô)",ride,,FALSE,
204,车,chē,,,xe,car,,FALSE,
205,自行车,zìxíngchē,,,xe đạp,bike,,FALSE,
206,摩托车,mótuōchē,,,"xe máy, mô tô",motorcycle,,FALSE,
207,汽车,qìchē,,,"xế hộp, ô tô",car,,FALSE,
208,飞机,fēijī,,,"phi cơ, máy bay",airplane,,FALSE,
209,船,chuán,,,thuyền,Boat,,FALSE,
210,坏,huài,,,xấu,bad,,FALSE,
211,时候,shíhou,,,lúc,when,,FALSE,
212,飞,fēi,,,bay,fly,,FALSE,
213,机场,jīchǎng,,,sân bay,Airport,,FALSE,
214,机票,jīpiào,,,vé máy bay,Airfare,,FALSE,
215,住,zhù,,,sống,live,,FALSE,
216,先生,xiānsheng,,,"quý ông, ngài, tiên sinh (gọi lịch sự người nam lớn tuổi hơn); chồng, ông xã",gentlemen,,FALSE,
217,朋友,péngyou,,,bạn bè,friend,,FALSE,
218,包,bāo,,,gói; cái bao,Bag,,FALSE,
219,来,lái,,,đến,Come,,FALSE,
220,干,gān,,,làm; khô,Dry,,FALSE,
221,什么,shénme,,,cái gì,What,,FALSE,
222,白天,báitiān,,,ban ngày,daytime,,FALSE,
223,上学,shàngxué,,,đi học,go to school,,FALSE,
224,放学,fàngxué,,,"tan học, ra về",After school,,FALSE,
225,下课,xiàkè,,,"tan học, tan lớp",get out of class ended,,FALSE,
226,上课,shàngkè,,,"lên lớp, đi học",Attend class,,FALSE,
227,上班,shàngbān,,,đi làm,work,,FALSE,
228,下班,xiàbān,,,tan làm,get off work,,FALSE,
229,打,dǎ,,,"đánh, gọi (xe, điện thoại)",beat,,FALSE,
230,打球,dǎqiú,,,chơi bóng,Playing ball,,FALSE,
231,求,qiú,,,quả bóng,beg,,FALSE,
232,事,shì,,,"chuyện, sự việc",thing,,FALSE,
233,事情,shìqing,,,sự việc,matter,,FALSE,
234,电影院,diànyǐngyuàn,,,rạp chiếu phim,Cinema,,FALSE,
235,回到,huídào,,,về đến,Back,,FALSE,
236,贵,guì,,,"đắc, mắc tiền",expensive,,FALSE,
237,便宜,piányi,,,rẻ,Cheap,,FALSE,
238,足球,zúqiú,,,bóng đá,football,,FALSE,
239,篮球,lánqiú,,,bóng rổ,basketball,,FALSE,
240,打篮球,dǎlánqiú,,,chơi bóng rổ,Playing basketball,,FALSE,
241,网球,wǎngqiú,,,tennis,tennis,,FALSE,
242,一起,yīqǐ,,,cùng nhau,Together,,FALSE,
243,票,piào,,,vé,ticket,,FALSE,
244,门票,ménpiào,,,vé vào cổng,Tickets,,FALSE,
245,请进,qǐng jìn,,,mời vào,Please come in.,,FALSE,
246,请假,qǐngjià,,,"xin nghỉ (nghỉ phép, nghỉ học)",Ask for leave,,FALSE,
247,放假,fàngjià,,,nghỉ lễ,Have a holiday,,FALSE,
248,生病,shēngbìng,,,"bị bệnh, ốm",Get ill,,FALSE,
249,知道,zhīdào,,,biết,Know,,FALSE,
250,看病,kànbìng,,,khám bệnh,see a doctor,,FALSE,
251,病人,bìngrén,,,bệnh nhân,patient,,FALSE,
252,帮,bāng,,,giúp đỡ,help,,FALSE,
253,休息,xiūxi,,,nghỉ ngơi,rest,,FALSE,
254,没事儿,méishìr,,,không sao hết,It's okay,,FALSE,
255,身体,shēntǐ,,,sức khỏe,Body,,FALSE,
256,鸡蛋,jīdàn,,,trứng gà,egg,,FALSE,
257,试,shì,,,thử,try,,FALSE,
258,好的,hǎo de,,,"(đồng ý) được rồi, ok",OK,,FALSE,
259,开门,kāimén,,,mở cửa,Open the door,,FALSE,
260,开车,kāichē,,,lái xe,drive,,FALSE,
261,开始,kāishǐ,,,bắt đầu,start,,FALSE,
262,走路,zǒulù,,,đi bộ,walk,,FALSE,
263,路上,lùshang,,,trên đường,On the road,,FALSE,
264,慢,màn,,,chậm,slow,,FALSE,
265,快,kuài,,,nhanh,quick,,FALSE,
266,起床,qǐchuáng,,,thức dậy,get up,,FALSE,
267,起来,qǐlai,,,đứng lên,stand up,,FALSE,
268,打车,dǎchē,,,gọi xe,Taxi,,FALSE,
269,非常,fēicháng,,,"cực kỳ, vô cùng (mức độ cao)",Very,,FALSE,
270,一下儿,#ERROR!,,,"một lúc, một chút",In a moment,,FALSE,
271,一会儿,yīhuìr,,,"một lúc, một chút",A while,,FALSE,
272,等,děng,,,"đợi, chờ đợi",wait,,FALSE,
273,家,jiā,,,nhà,Home,,FALSE,
274,别的,biéde,,,cái khác,Other,,FALSE,
275,还是,háishi,,,vẫn,still,,FALSE,
276,介绍,jièshào,,,giới thiệu,introduce,,FALSE,
277,男朋友,nánpéngyou,,,bạn trai,Boy friend,,FALSE,
278,女朋友,nǚpéngyou,,,bạn gái,girlfriend,,FALSE,
279,时间,shíjiān,,,thời gian,time,,FALSE,
280,重要,zhòngyào,,,quan trọng,important,,FALSE,
281,包子,bāozi,,,bánh bao hấp nhân,steamed stuffed bun,,FALSE,
282,能,néng,,,có thể (khả năng),able,,FALSE,
283,可以,kěyǐ,,,có thể (sự cho phép),Can,,FALSE,
284,可能,kěnéng,,,"có lẽ, có thể (dự đoán)",possible,,FALSE,
285,要,yào,,,muốn,want,,FALSE,
286,路口,lùkǒu,,,giao lộ,intersection,,FALSE,
287,那边,nàbian,,,ở đó,there,,FALSE,
288,这边,zhèbiān,,,ở bên này,This way,,FALSE,
289,孩子,háizi,,,"đứa trẻ, con cái",child,,FALSE,
290,小孩儿,xiǎoháir,,,trẻ con,children,,FALSE,
291,男孩儿,nánháir,,,con trai,boy,,FALSE,
292,女孩儿,nǚháir,,,con gái,Girl,,FALSE,
293,女生,nǚshēng,,,"bạn nữ, con gái",girl,,FALSE,
294,男生,nánshēng,,,"bạn nam, con trai",Boys,,FALSE,
295,动作,dòngzuò,,,"động tác, hành động",action,,FALSE,
296,笑,xiào,,,cười,laugh,,FALSE,
297,生气,shēngqì,,,tức giận,angry,,FALSE,
298,课,kè,,,lớp học,class,,FALSE,
299,可爱,kěài,,,dễ thương,cute,,FALSE,
300,先,xiān,,,Đầu tiên,First,,FALSE,
301,一块儿,yīkuàir,,,cùng nhau,Together,,FALSE,
302,真,zhēn,,,thật,real,,FALSE,
303,真的,zhēnde,,,thật á,real,,FALSE,
304,电视机,diànshìjī,,,"ti vi, truyền hình",TV set,,FALSE,
305,商场,shāngchǎng,,,trung tâm mua sắm,shopping mall,,FALSE,
306,商店,shāngdiàn,,,cửa hàng,shop,,FALSE,
307,周末,zhōumò,,,ngày cuối tuần,weekend,,FALSE,
308,觉得,juéde,,,cảm thấy,feel,,FALSE,
309,行,xíng,,,"ok, được rồi",OK,,FALSE,
310,到,dào,,,đến,arrive,,FALSE,
311,河内,hénèi,,,Hà Nội,Hanoi,,FALSE,
312,首都,shǒudū,,,thủ đô,capital,,FALSE,
313,半年,bànnián,,,nửa năm,Half a year,,FALSE,
314,帮忙,bāngmáng,,,giúp đỡ,help,,FALSE,
315,马上,mǎshàng,,,ngay lập tức,immediately,,FALSE,
316,跟,gēn,,,"cùng, và (sự đồng hành)",and,,FALSE,
317,从……到,cóng   dào,,,Từ... đến,From... to,,FALSE,
318,爱好,àihào,,,sở thích,Hobby,,FALSE,
319,唱,chàng,,,hát,Sing,,FALSE,
320,唱歌,chànggē,,,hát,Sing,,FALSE,
321,牛奶,niúnǎi,,,sữa bò,milk,,FALSE,
322,书店,shūdiàn,,,hiệu sách,bookstore,,FALSE,
323,拿,ná,,,lấy,take,,FALSE,
324,渴,kě,,,khát,thirsty,,FALSE,
325,忘,wàng,,,quên,forget,,FALSE,
326,近,jìn,,,gần,close,,FALSE,
327,远,yuǎn,,,xa,Far,,FALSE,
328,地方,dìfāng,,,"địa điểm, nơi",place,,FALSE,
329,水,shuǐ,,,nước,water,,FALSE,
330,树,shù,,,cây,Tree,,FALSE,
331,山,shān,,,núi,Mountain,,FALSE,
332,河,hé,,,dòng sông,river,,FALSE,
333,花,huā,,,hoa,flower,,FALSE,
334,不用,bùyòng,,,không cần,Need not,,FALSE,
335,一些,yīxiē,,,một số,Some,,FALSE,
336,肉,ròu,,,thịt,Meat,,FALSE,
337,牛肉,niúròu,,,thịt bò,beef,,FALSE,
338,羊肉,yángròu,,,thịt cừu,mutton,,FALSE,
339,玩儿,wánr,,,chơi,play,,FALSE,
340,出去,chūqù,,,đi ra ngoài,go out,,FALSE,
341,说话,shuōhuà,,,nói chuyện,say,,FALSE,
342,话,huà,,,lời nói,talk,,FALSE,
343,听说,tīngshuō,,,nghe nói là,I heard,,FALSE,
344,公园,gōngyuán,,,khu vườn,garden,,FALSE,
345,知道,zhīdào,,,biết,Know,,FALSE,
346,公司,gōngsī,,,công ty,company,,FALSE,
347,别,bié,,,Đừng,Don't,,FALSE,
348,一边,yībiān,,,vừa...vừa,One side,,FALSE,
349,好看,hǎokàn,,,đẹp,nice,,FALSE,
350,好听,hǎotīng,,,nghe hay,It sounds nice,,FALSE,
351,打开,dǎkāi,,,mở,Open,,FALSE,
352,开玩笑,kāiwánxiào,,,"trêu đùa, nói giỡn",joke,,FALSE,
353,洗,xǐ,,,rửa,wash,,FALSE,
354,手,shǒu,,,tay,hand,,FALSE,
355,手表,shǒubiǎo,,,đồng hồ ,watch,,FALSE,
356,洗手间,xǐshǒujiān,,,nhà vệ sinh,Toilet,,FALSE,
357,高,gāo,,,cao,high,,FALSE,
358,穿,chuān,,,mặc,wear,,FALSE,
359,新年,xīnnián,,,năm mới,new year,,FALSE,
360,春节,chūnjié,,,Tết Nguyên Đán,Spring Festival,,FALSE,
361,快乐,kuàilè,,,"vui vẻ, hạnh phúc",hapiness,,FALSE,
362,生日,shēngrì,,,sinh nhật,Birthday,,FALSE,
363,国外,guówài,,,nước ngoài,foreign,,FALSE,
364,外语,wàiyǔ,,,ngoại ngữ,foreign language,,FALSE,
365,加拿大,jiānádà,,,Canada,Canada,,FALSE,
366,日本,rìběn,,,Nhật Bản,Japan,,FALSE,
367,国家,guójiā,,,quốc gia,nation,,FALSE,
368,块,kuài,,,"miếng, cái, mảnh, cục; 1 tệ (khẩu ngữ)",piece,,FALSE,
369,元,yuán,,,tệ (CNY-đơn vị tiền tệ Trung Quốc),Yuan,,FALSE,
370,角,jiǎo,,,hào = 1/10 tệ,horn,,FALSE,
371,毛,máo,,,"lông, tóc",hair,,FALSE,
372,冰块,bīngkuài,,,đá viên,ice cubes,,FALSE,
373,糖块,tángkuài,,,cục kẹo,Sugar cubes,,FALSE,
374,比,bǐ,,,"hơn, so",Compare,,FALSE,
375,比较,bǐjiào,,,"so sánh; tương đối, khá",Compare,,FALSE,
376,千,qiān,,,nghìn,thousand,,,
377,里边,lǐbian,,,bên trong,inside,,,
378,外边,wàibian,,,bên ngoài,outside,,,
379,东边,dōngbian,,,phía đông,East,,,
380,西边,xībiān,,,phía tây,West,,,
381,南边,nánbian,,,phía nam,South,,,
382,北边,běibiān,,,phía bắc,North,,,
383,对面,duìmiàn,,,đối diện,opposite,,,
384,后面,hòumiàn,,,phía sau,later,,,
385,前面,qiánmiàn,,,phía trước,Front,,,
386,上面,shàngmiàn,,,phía trên,above,,,
387,下面,xiàmiàn,,,phía dưới,under,,,
388,地图,dìtú,,,"bản đồ, địa đồ",map,,,
389,还是,háishi,,,hay là; vẫn còn,still,,,
390,明白,míngbai,,,hiểu,clear,,,
391,房子,fángzi,,,ngôi nhà,house,,,
392,房间,fángjiān,,,căn phòng,Room,,,
393,间,jiān,,,phòng,between,,,
394,照片,zhàopiàn,,,bức ảnh,photo,,,
395,旁边,pángbiān,,,bên cạnh,beside,,,
396,红色,hóngsè,,,màu đỏ,red,,,
397,黑色,hēisè,,,màu đen,black,,,
398,颜色,yánsè,,,màu sắc,color,,,
399,哭,kū,,,khóc,cry,,,
400,早,zǎo,,,sớm; buổi sáng,morning,,,
401,晚,wǎn,,,muộn; buổi tối,Night,,,
402,左边,zuǒbian,,,bên trái,left,,,
403,右边,yòubian,,,bên phải,right,,,
404,中间,zhōngjiān,,,ở giữa,middle,,,
405,一样,yīyàng,,,giống nhau,Same,,,
406,哎呀,āiyā,,,Ôi chao,oops,,,
407,我的天,wǒ de tiān,,,Trời đất ơi,Oh My God,,,
408,车站,chēzhàn,,,"bến xe, ga xe",station,,,
409,站,zhàn,,,đứng,stand,,,
410,来到,láidào,,,đến,come,,,
411,车票,chēpiào,,,vé xe,ticket,,,
412,机票,jīpiào,,,vé máy bay,Airfare,,,
413,放,fàng,,,đặt,put,,,
414,钱包,qiánbāo,,,cái ví,wallet,,,
415,身上,shēnshang,,,trên người,On body,,,
416,身边,shēnbiān,,,"xung quanh, chung quanh",Around,,,
417,在身边,zài shēnbiān,,,bên cạnh,Beside,,,
418,睡,shuì,,,ngủ,sleep,,,
419,坐下,zuòxia,,,ngồi xuống,sit down,,,
420,出来,chūlái,,,đi ra ngoài,come out,,,
421,出去,chūqù,,,đi ra ngoài,go out,,,
422,有的,yǒu de,,,có thứ; có một số,some,,,
423,有时,yǒushí,,,thỉnh thoảng,sometimes,,,
424,着,zhe,,,nhấn mạnh sự tiếp diễn,Wearing,,,
425,考试,kǎoshì,,,làm bài kiểm tra,take an exam,,,
426,考,kǎo,,,kiểm tra,Test,,,
427,难,nán,,,khó,Disaster,,,
428,问题,wèntí,,,"câu hỏi, vấn đề",question,,,
429,最后,zuìhòu,,,cuối cùng,at last,,,
430,回答,huídá,,,trả lời,answer,,,
431,对,duì,,,đối với; đúng vậy; đúng,right,,,
432,错,cuò,,,sai,wrong,,,
433,记得,jìde,,,nhớ,Remember,,,
434,忘记,wàngjì,,,quên,forget,,,
435,记住,jìzhu,,,ghi nhớ,remember,,,
436,听写,tīngxiě,,,nghe viết,dictation,,,
437,教,jiào,,,dạy học,teach,,,
438,教室,jiàoshì,,,lớp học,classroom,,,
439,教授,jiàoshòu,,,giáo sư,professor,,,
440,教学楼,jiàoxuélóu,,,giảng đường,Teaching building,,,
441,页,yè,,,trang sách,Page,,,
442,课本,kèběn,,,sách giáo khoa,textbook,,,
443,课文,kèwén,,,"bài khóa, đoạn văn",text,,,
444,次,cì,,,lần,Second-rate,,,
445,第,dì,,,thứ (thứ tự),No.,,,
446,第一,dìyī,,,"thứ nhất, đầu tiên",First,,,
447,上次,shàngcì,,,lần trước,Last time,,,
448,下次,xiàcì,,,lần sau,next time,,,
449,住在,zhù zài,,,"sống tại, sống ở",Living,,,
450,想,xiǎng,,,nghĩ; muốn; nhớ,think,,,
451,进来,jìnlái,,,vào (người ở trong nói),Come in,,,
452,进去,jìnqù,,,vào (người bên ngoài nói),Go in,,,
453,得到,dédào,,,đạt được,get,,,
454,道德,dàodé,,,đạo đức,Morality,,,
455,日期,rìqī,,,ngày,date,,,
456,地点,dìdiǎn,,,"địa điểm, nơi",Place,,,
457,地址,dìzhǐ,,,địa chỉ,address,,,
458,重,zhòng,,,nặng,Heavy,,,
459,中心,zhōngxīn,,,trung tâm,center,,,
460,重心,zhòngxīn,,,trọng tâm,Center of gravity,,,
461,书包,shūbāo,,,cặp sách,bag,,,
462,读书,dúshū,,,đi học (nghĩa bóng); đọc sách (nghĩa đen),read,,,
463,本子,běnzi,,,sách,book,,,
464,中文,zhōngwén,,,"tiếng Trung, ngữ văn Trung",Chinese,,,
465,汉语,hànyǔ,,,Tiếng Trung,Chinese,,,
466,班,bān,,,lớp học,class,,,
467,小学生,xiǎoxuéshēng,,,học sinh tiểu học,primary school students,,,
468,中学生,zhōngxuéshēng,,,học sinh trung học,middle school student,,,
469,有用,yǒuyòng,,,có ích,it works,,,
