STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA TIẾNG VIỆT,NGHĨA TIẾNG ANH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
142,打架,dǎjià,"Động từ, Động từ ly hợp",,,fight,,FALSE,,
143,操场,cāochǎng,Danh từ,,,playground,,FALSE,,
144,册,cè,Lượng từ,,,book,,FALSE,,
145,测验,cèyàn,Danh từ,,,test,,FALSE,,
146,期末测验,qīmò cèyàn,Danh từ,,,Final Exam,,FALSE,,
147,实验室,shíyànshì,Danh từ,,,laboratory,,FALSE,,
148,插,chā,Động từ,,,Insert,,FALSE,,
149,拆,chāi,Động từ,,,dismantle,,FALSE,,
150,物品,wùpǐn,Danh từ,,,thing,,FALSE,,
151,差距,chājù,Danh từ,,,gap,,FALSE,,
152,贫富差距,pínfù chājù,Danh từ,,,Inequality,,FALSE,,
153,常识,chángshí,Danh từ,,,common sense,,FALSE,,
154,长途,chángtú,Tính từ,,,long haul,,FALSE,,
155,产品,chǎnpǐn,Danh từ,,,product,,FALSE,,
156,生产,shēngchǎn,Động từ,,,Production,,FALSE,,
157,产生,chǎnshēng,Động từ,,,produce,,FALSE,,
158,矛盾,máodùn,Danh từ,,,contradiction,,FALSE,,
159,吵,chǎo,Động từ,,,Quarrel,,FALSE,,
160,炒,chǎo,Động từ,,,saute,,FALSE,,
161,抄,chāo,Động từ,,,copy,,FALSE,,
162,吵架,chǎojià,Động từ,,,quarrel,,FALSE,,
163,吵醒,chǎoxǐng,Động từ,,,Wake up,,FALSE,,
164,吵起来,chǎo qǐlái,Động từ,,,Arguing,,FALSE,,
165,睡不着,shuìbùzháo,Động từ,,,Can't sleep,,FALSE,,
166,和好,héhǎo,"Tính từ, Động từ",,,Make up,,FALSE,,
167,命运,mìngyùn,Danh từ,,,destiny,,FALSE,,
168,体现,tǐxiàn,Động từ,,,reflect,,FALSE,,
169,团结,tuánjié,"Động từ, Tính từ",,,Unity,,FALSE,,
170,民歌,míngē,Danh từ,,,folk song,,FALSE,,
171,民族,minzu,Danh từ,,,nationality,,FALSE,,
172,超级,chāojí,Tính từ,,,super,,FALSE,,
173,超级明星,chāojí míngxīng,Danh từ,,,Superstar,,FALSE,,
174,潮湿,cháoshī,Tính từ,,,damp,,FALSE,,
175,土地,tǔdì,Danh từ,,,land,,FALSE,,
176,叉子,chāzi,Danh từ,,,fork,,FALSE,,
177,彻底,chèdǐ,Tính từ,,,thorough,,FALSE,,
178,车库,chēkù,Danh từ,,,garage,,FALSE,,
179,称,chēng,Động từ,,,say,,FALSE,,
180,称呼,chēnghu,"Động từ, Danh từ",,,call,,FALSE,,
181,自称,zìchēng,Động từ,,,Self-proclaimed,,FALSE,,
182,被称为,bèi chēngwéi,Động từ,,,Known as,,FALSE,,
183,表现,biǎoxiàn,"Danh từ, Động từ",,,Performance,,FALSE,,
184,充满,chōngmǎn,Động từ,,,full,,FALSE,,
185,承担,chéngdān,Động từ,,,bear,,FALSE,,
186,总经理,zǒngjīnglǐ,Danh từ,,,General manager,,FALSE,,
187,程度,chéngdù,Danh từ,,,degree,,FALSE,,
188,达到……程度,dádào…chéngdù,Cụm từ,,,Reaching the level of...,,FALSE,,
189,成分,chéngfèn,Danh từ,,,Element,,FALSE,,
190,化学成分,huàxué chéngfèn,Danh từ,,,chemical composition,,FALSE,,
191,垃圾食品,lājī shípǐn,Danh từ,,,junk food,,FALSE,,
192,诚恳,chéngkěn,Tính từ,,,sincere,,FALSE,,
193,成立,chénglì,Động từ,,,Established,,FALSE,,
194,组织,zǔzhī,Động từ,,,organize,,FALSE,,
195,承认,chéngrèn,Động từ,,,admit,,FALSE,,
196,成人,chéngrén,"Danh từ, Động từ",,,adult,,FALSE,,
197,承受,chéngshòu,Động từ,,,bear,,FALSE,,
198,损失,sǔnshī,Danh từ,,,loss,,FALSE,,
199,不了,bùliǎo,"Động từ, Trợ từ",,,No,,FALSE,,
200,成熟,chéngshú,Tính từ,,,Mature,,FALSE,,
201,程序,chéngxù,Danh từ,,,program,,FALSE,,
202,程序员,chéngxùyuán,Danh từ,,,programmer,,FALSE,,
203,成语,chéngyǔ,Danh từ,,,idiom,,FALSE,,
204,称赞,chēngzàn,Động từ,,,commend,,FALSE,,
205,成长,chéngzhǎng,Động từ,,,growing up,,FALSE,,
206,沉默,chénmò,"Tính từ, Động từ",,,silence,,FALSE,,
207,空间,kōngjiān,Danh từ,,,space,,FALSE,,
208,车厢,chēxiāng,Danh từ,,,car,,FALSE,,
209,乘客,chéngkè,Danh từ,,,passenger,,FALSE,,
210,翅膀,chìbǎng,Danh từ,,,wing,,FALSE,,
211,蝴蝶,húdié,Danh từ,,,Butterfly,,FALSE,,
212,花纹,huāwén,Danh từ,,,Pattern,,FALSE,,
213,吃苦,chīkǔ,Động từ ly hợp,,,Endure hardship,,FALSE,,
214,吃亏,chīkuī,Động từ ly hợp,,,suffer a loss,,FALSE,,
215,池塘,chítáng,Danh từ,,,pond,,FALSE,,
216,尺子,shǐzi,Danh từ,,,ruler,,FALSE,,
217,冲,chōng,Động từ,,,rush,,FALSE,,
218,不足,bùzú,"Tính từ, Động từ, Danh từ",,,insufficient,,FALSE,,
219,睡眠,shuìmián,Danh từ,,,sleep,,FALSE,,
220,缺乏,quēfá,Động từ,,,lack,,FALSE,,
221,充电器,chōngdiànqì,Danh từ,,,charger,,FALSE,,
222,充分,chōngfèn,Tính từ,,,full,,FALSE,,
223,思考,sīkǎo,Động từ,,,think,,FALSE,,
224,理由,lǐyóu,Danh từ,,,reason,,FALSE,,
225,观点,guāndiǎn,Danh từ,,,Opinion,,FALSE,,
226,下决定,xiàjuédìng,Động từ,,,Make a decision,,FALSE,,
227,下决心,xiàjuéxīn,Động từ,,,Make a decision,,FALSE,,
228,充满,chōngmǎn,Động từ,,,full,,FALSE,,
229,吸引力,xīyǐn lì,Danh từ,,,attraction,,FALSE,,
230,能量,néngliàng,Danh từ,,,energy,,FALSE,,
231,宠物,chǒngwù,Danh từ,,,pet,,FALSE,,
232,丑,chǒu,Tính từ,,,ugly,,FALSE,,
233,丑恶,chǒu'è,Tính từ,,,ugly,,FALSE,,
234,行为,xíngwéi,Danh từ,,,Behavior,,FALSE,,
235,臭,chòu,Tính từ,,,Smelly,,FALSE,,
236,臭气,chòuqì,Danh từ,,,Odor,,FALSE,,
237,受不了,shòubùliǎo,Động từ,,,I can't stand it,,FALSE,,
238,榴莲,liúlián,Danh từ,,,durian,,FALSE,,
239,抽屉,chōutì ,Danh từ,,,drawer,,FALSE,,
240,抽象,chōuxiàng,"Động từ, Tính từ",,,abstract,,FALSE,,
241,思维,sīwéi,Danh từ,,,thinking,,FALSE,,
242,艺术家,yìshùjiā,Danh từ,,,artist,,FALSE,,
243,传播,chuánbō,Động từ,,,spread,,FALSE,,
244,广泛传播,guǎngfàn chuánbō,Động từ,,,Widespread,,FALSE,,
245,闯,chuǎng,Động từ,,,Break,,FALSE,,
246,敢闯敢试,gǎnchuǎng gǎnshì,Tính từ,,,Daring to try,,FALSE,,
247,窗帘,chuānglián,Danh từ,,,curtain,,FALSE,,
248,拉开,lākāi,Động từ,,,Pull open,,FALSE,,
249,创造,chuàngzào,Động từ,,,create,,FALSE,,
250,奇迹,qíjì,Danh từ,,,Miracle,,FALSE,,
251,传染病毒,chuánrǎn bìngdú,Động từ,,,Infectious virus,,FALSE,,
252,恐慌,kǒnghuāng,"Danh từ,Tính từ",,,panic,,FALSE,,
253,传说,chuánshuō,"Danh từ, Động từ",,,legend,,FALSE,,
254,神话,shénhuà,Danh từ,,,Myth,,FALSE,,
255,讲述,jiǎngshù,Động từ,,,Narrative,,FALSE,,
256,起源,qǐyuán ,Danh từ,,,origin,,FALSE,,
257,传统,chuántǒng,"Danh từ, Tính từ",,,Tradition,,FALSE,,
258,悠久,yōujiǔ,Tính từ,,,long,,FALSE,,
259,出版,chūbǎn,Động từ,,,publishing,,FALSE,,
260,出版图书,chūbǎn túshū,Động từ,,,Published books,,FALSE,,
261,吹,chuī,Động từ,,,blow,,FALSE,,
262,吹牛,chuīniú,Động từ,,,boast,,FALSE,,
263,凉爽,liángshuǎng,Tính từ,,,cool,,FALSE,,
264,初级,chūjí,Tính từ,,,primary,,FALSE,,
265,出口,chūkǒu,"Danh từ, Động từ",,,exit,,FALSE,,
266,处理,chǔlǐ,Động từ,,,deal with,,FALSE,,
267,办理,bànlǐ,Động từ,,,Processing,,FALSE,,
268,出色,chūsè,Tính từ,,,outstanding,,FALSE,,
269,出示,chūshì,Động từ,,,show,,FALSE,,
270,证据,zhèngjù,Danh từ,,,evidence,,FALSE,,
271,证明,zhèngmíng,Động từ,,,prove,,FALSE,,
272,清白,qīngbái,Danh từ,,,clean,,FALSE,,
273,除夕,chúxī,Danh từ,,,Lunar New Year's eve,,FALSE,,
274,除夕夜,chúxì yè,Danh từ,,,New Year's Eve,,FALSE,,
275,过除夕,guò chúxī,Động từ,,,New Year's Eve,,FALSE,,
276,出席,chūxí,Động từ,,,Attend,,FALSE,,
277,参与,cānyù,Động từ,,,participate,,FALSE,,
278,词汇,cíhuì,Danh từ,,,vocabulary,,FALSE,,
279,词汇量,cíhuìliàng,Danh từ,,,Vocabulary,,FALSE,,
280,刺激,cìjī,"Danh từ, Động từ",,,Stimulate,,FALSE,,
281,恐怖,kǒngbù,Tính từ,,,fear,,FALSE,,
282,恐怖电影,kǒngbù diànyǐng,Danh từ,,,Horror Movies,,FALSE,,
283,政策,zhèngcè,Danh từ,,,policy,,FALSE,,
284,增长,zēngzhǎng,"Danh từ, Động từ",,,increase,,FALSE,,
285,次要,cìyào,Tính từ,,,secondary,,FALSE,,
286,地位,dìwèi,Danh từ,,,status,,FALSE,,
287,位置,wèizhì,Danh từ,,,Location,,FALSE,,
288,任务,rènwu,Danh từ,,,Task,,FALSE,,
289,人物,rénwù,Danh từ,,,figure,,FALSE,,
290,面临,miànlín,Động từ,,,Facing,,FALSE,,
291,辞职,cízhí,Động từ,,,Resign,,FALSE,,
292,提出辞职,tíchū cízhí,Động từ,,,Submitting resignation,,FALSE,,
293,正式,zhèngshì,Tính từ,,,formal,,FALSE,,
294,特产,tèchǎn,Danh từ,,,specialty,,FALSE,,
295,机器,jīqì,Danh từ,,,machine,,FALSE,,
296,观念,guānniàn,Danh từ,,,Concept,,FALSE,,
