STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA,ENGLISH,ÔN TẬP,CHECK,CÂU VÍ DỤ
205,自行车,zìxíngchē,,,xe đạp,bike,,FALSE,
206,摩托车,mótuōchē,,,xe máy,motorcycle,,FALSE,
207,汽车,qìchē,,,xe hơi,car,,FALSE,
208,飞机,fēijī,,,máy bay,airplane,,FALSE,
209,船,chuán,,,Thuyền,Boat,,FALSE,
210,坏,huài,,,xấu,bad,,FALSE,
211,时候,shíhou,,,khi,when,,FALSE,
212,飞,fēi,,,bay,fly,,FALSE,
213,机场,jīchǎng,,,Sân bay,Airport,,FALSE,
214,机票,jīpiào,,,Vé máy bay,Airfare,,FALSE,
215,住,zhù,,,sống,live,,FALSE,
216,先生,xiānsheng,,,thưa quý ông,gentlemen,,FALSE,
217,朋友,péngyou,,,bạn bè,friend,,FALSE,
218,包,bāo,,,Cái túi,Bag,,FALSE,
219,来,lái,,,Đến,Come,,FALSE,
220,干,gān,,,Khô,Dry,,FALSE,
221,什么,shénme,,,Cái gì,What,,FALSE,
222,白天,báitiān,,,ban ngày,daytime,,FALSE,
223,上学,shàngxué,,,đi học,go to school,,FALSE,
224,放学,fàngxué,,,Sau giờ học,After school,,FALSE,
225,下课,xiàkè,,,tan học,get out of class ended,,FALSE,
226,上课,shàngkè,,,"vào học, đi học",Attend class,,FALSE,
227,上班,shàngbān,,,công việc,work,,FALSE,
228,下班,xiàbān,,,tan ca làm việc,get off work,,FALSE,
229,打,dǎ,,,tiết tấu,beat,,FALSE,
230,打球,dǎqiú,,,Chơi bóng,Playing ball,,FALSE,
231,求,qiú,,,ăn xin,beg,,FALSE,
232,事,shì,,,điều,thing,,FALSE,
233,事情,shìqing,,,vấn đề,matter,,FALSE,
234,电影院,diànyǐngyuàn,,,Rạp chiếu phim,Cinema,,FALSE,
235,回到,huídào,,,Mặt sau,Back,,FALSE,
236,贵,guì,,,đắt,expensive,,FALSE,
237,便宜,piányi,,,Rẻ,Cheap,,FALSE,
238,足球,zúqiú,,,bóng đá,football,,FALSE,
239,篮球,lánqiú,,,bóng rổ,basketball,,FALSE,
240,打篮球,dǎlánqiú,,,Chơi bóng rổ,Playing basketball,,FALSE,
241,网球,wǎngqiú,,,quần vợt,tennis,,FALSE,
242,一起,yīqǐ,,,Cùng nhau,Together,,FALSE,
243,票,piào,,,vé,ticket,,FALSE,
244,门票,ménpiào,,,Vé,Tickets,,FALSE,
245,请进,qǐng jìn,,,Mời vào.,Please come in.,,FALSE,
246,请假,qǐngjià,,,Xin nghỉ phép,Ask for leave,,FALSE,
247,放假,fàngjià,,,Chúc bạn có một kỳ nghỉ vui vẻ!,Have a holiday,,FALSE,
248,生病,shēngbìng,,,Bị ốm,Get ill,,FALSE,
249,知道,zhīdào,,,Biết,Know,,FALSE,
250,看病,kànbìng,,,đi khám bác sĩ,see a doctor,,FALSE,
251,病人,bìngrén,,,kiên nhẫn,patient,,FALSE,
252,帮,bāng,,,giúp đỡ,help,,FALSE,
253,休息,xiūxi,,,nghỉ ngơi,rest,,FALSE,
254,没事儿,méishìr,,,Không sao đâu,It's okay,,FALSE,
255,身体,shēntǐ,,,Thân hình,Body,,FALSE,
256,鸡蛋,jīdàn,,,trứng,egg,,FALSE,
257,试,shì,,,thử,try,,FALSE,
258,好的,hǎo de,,,ĐƯỢC RỒI,OK,,FALSE,
259,开门,kāimén,,,Mở cửa ra,Open the door,,FALSE,
260,开车,kāichē,,,lái xe,drive,,FALSE,
261,开始,kāishǐ,,,bắt đầu,start,,FALSE,
262,走路,zǒulù,,,đi bộ,walk,,FALSE,
263,路上,lùshang,,,Trên đường,On the road,,FALSE,
264,慢,màn,,,chậm,slow,,FALSE,
265,快,kuài,,,nhanh,quick,,FALSE,
266,起床,qǐchuáng,,,thức dậy,get up,,FALSE,
267,起来,qǐlai,,,đứng lên,stand up,,FALSE,
268,打车,dǎchē,,,Taxi,Taxi,,FALSE,
269,非常,fēicháng,,,Rất,Very,,FALSE,
270,一下儿,yīxià r,,,Trong chốc lát,In a moment,,FALSE,
271,一会儿,yīhuìr,,,Một lúc,A while,,FALSE,
272,等,děng,,,Chờ đợi,wait,,FALSE,
273,家,jiā,,,Trang chủ,Home,,FALSE,
274,别的,biéde,,,Khác,Other,,FALSE,
275,还是,háishi,,,vẫn,still,,FALSE,
276,介绍,jièshào,,,giới thiệu,introduce,,FALSE,
277,男朋友,nánpéngyou,,,Bạn trai,Boy friend,,FALSE,
278,女朋友,nǚpéngyou,,,bạn gái,girlfriend,,FALSE,
279,时间,shíjiān,,,thời gian,time,,FALSE,
280,重要,zhòngyào,,,quan trọng,important,,FALSE,
281,包子,bāozi,,,bánh bao hấp nhân,steamed stuffed bun,,FALSE,
282,能,néng,,,có thể,able,,FALSE,
283,可以,kěyǐ,,,Có thể,Can,,FALSE,
284,可能,kěnéng,,,khả thi,possible,,FALSE,
285,要,yào,,,muốn,want,,FALSE,
286,路口,lùkǒu,,,giao lộ,intersection,,FALSE,
287,那边,nàbian,,,ở đó,there,,FALSE,
288,这边,zhèbiān,,,Theo cách này,This way,,FALSE,
289,孩子,háizi,,,đứa trẻ,child,,FALSE,
290,小孩儿,xiǎoháir,,,những đứa trẻ,children,,FALSE,
291,男孩儿,nánháir,,,con trai,boy,,FALSE,
292,女孩儿,nǚháir,,,Con gái,Girl,,FALSE,
293,女生,nǚshēng,,,con gái,girl,,FALSE,
294,男生,nánshēng,,,Các chàng trai,Boys,,FALSE,
295,动作,dòngzuò,,,hoạt động,action,,FALSE,
296,笑,xiào,,,cười,laugh,,FALSE,
297,生气,shēngqì,,,tức giận,angry,,FALSE,
298,课,kè,,,lớp học,class,,FALSE,
299,可爱,kěài,,,dễ thương,cute,,FALSE,
300,先,xiān,,,Đầu tiên,First,,FALSE,
301,一块儿,yīkuàir,,,Cùng nhau,Together,,FALSE,
302,真,zhēn,,,thực tế,real,,FALSE,
303,真的,zhēnde,,,thực tế,real,,FALSE,
304,电视机,diànshìjī,,,Tivi,TV set,,FALSE,
305,商场,shāngchǎng,,,trung tâm mua sắm,shopping mall,,FALSE,
306,商店,shāngdiàn,,,cửa hàng,shop,,FALSE,
307,周末,zhōumò,,,ngày cuối tuần,weekend,,FALSE,
308,觉得,juéde,,,cảm thấy,feel,,FALSE,
309,行,xíng,,,ĐƯỢC RỒI,OK,,FALSE,
310,到,dào,,,đến,arrive,,FALSE,
311,河内,hénèi,,,Hà Nội,Hanoi,,FALSE,
312,首都,shǒudū,,,thủ đô,capital,,FALSE,
313,半年,bànnián,,,Nửa năm,Half a year,,FALSE,
314,帮忙,bāngmáng,,,giúp đỡ,help,,FALSE,
315,马上,mǎshàng,,,ngay lập tức,immediately,,FALSE,
316,跟,gēn,,,Và,and,,FALSE,
317,从……到,cóng   dào,,,Từ... đến,From... to,,FALSE,
318,爱好,àihào,,,Sở thích,Hobby,,FALSE,
319,唱,chàng,,,Hát,Sing,,FALSE,
320,唱歌,chànggē,,,Hát,Sing,,FALSE,
321,牛奶,niúnǎi,,,sữa,milk,,FALSE,
322,书店,shūdiàn,,,hiệu sách,bookstore,,FALSE,
323,拿,ná,,,lấy,take,,FALSE,
324,渴,kě,,,khát,thirsty,,FALSE,
325,忘,wàng,,,quên,forget,,FALSE,
326,近,jìn,,,đóng,close,,FALSE,
327,远,yuǎn,,,Xa,Far,,FALSE,
328,地方,dìfāng,,,địa điểm,place,,FALSE,
329,水,shuǐ,,,Nước,water,,FALSE,
330,树,shù,,,Cây,Tree,,FALSE,
331,山,shān,,,Núi,Mountain,,FALSE,
332,河,hé,,,dòng sông,river,,FALSE,
333,花,huā,,,hoa,flower,,FALSE,
334,不用,bùyòng,,,Không cần thiết,Need not,,FALSE,
335,一些,yīxiē,,,Một số,Some,,FALSE,
336,肉,ròu,,,Thịt,Meat,,FALSE,
337,牛肉,niúròu,,,thịt bò,beef,,FALSE,
338,羊肉,yángròu,,,thịt cừu,mutton,,FALSE,
339,玩儿,wánr,,,chơi,play,,FALSE,
340,出去,chūqù,,,đi ra ngoài,go out,,FALSE,
341,说话,shuōhuà,,,nói,say,,FALSE,
342,话,huà,,,nói chuyện,talk,,FALSE,
343,听说,tīngshuō,,,Tôi nghe nói,I heard,,FALSE,
344,公园,gōngyuán,,,vườn,garden,,FALSE,
345,知道,zhīdào,,,Biết,Know,,FALSE,
346,公司,gōngsī,,,công ty,company,,FALSE,
347,别,bié,,,Đừng,Don't,,FALSE,
348,一边,yībiān,,,Một bên,One side,,FALSE,
349,好看,hǎokàn,,,Đẹp,nice,,FALSE,
350,好听,hǎotīng,,,Nghe hay đấy.,It sounds nice,,FALSE,
351,打开,dǎkāi,,,Mở,Open,,FALSE,
352,开玩笑,kāiwánxiào,,,câu nói đùa,joke,,FALSE,
353,洗,xǐ,,,rửa,wash,,FALSE,
354,手,shǒu,,,tay,hand,,FALSE,
355,手表,shǒubiǎo,,,đồng hồ ,watch,,FALSE,
356,洗手间,xǐshǒujiān,,,Nhà vệ sinh,Toilet,,FALSE,
357,高,gāo,,,cao,high,,FALSE,
358,穿,chuān,,,mặc,wear,,FALSE,
359,现年,xiànnián,,,tuổi hiện tại,current age,,FALSE,
360,春节,chūnjié,,,Tết Nguyên Đán,Spring Festival,,FALSE,
361,快乐,kuàilè,,,hạnh phúc,hapiness,,FALSE,
362,生日,shēngrì,,,Sinh nhật,Birthday,,FALSE,
363,国外,guówài,,,nước ngoài,foreign,,FALSE,
364,外语,wàiyǔ,,,ngoại ngữ,foreign language,,FALSE,
365,加拿大,jiānádà,,,Canada,Canada,,FALSE,
366,日本,rìběn,,,Nhật Bản,Japan,,FALSE,
367,国家,guójiā,,,Quốc gia,nation,,FALSE,
368,块,kuài,,,cái,piece,,FALSE,
369,元,yuán,,,Nguyên,Yuan,,FALSE,
370,角,jiǎo,,,còi,horn,,FALSE,
371,毛,máo,,,tóc,hair,,FALSE,
372,冰块,bīngkuài,,,đá viên,ice cubes,,FALSE,
373,糖块,tángkuài,,,Đường viên,Sugar cubes,,FALSE,
374,比,bǐ,,,So sánh,Compare,,FALSE,
375,比较,bǐjiào,,,So sánh,Compare,,FALSE,
376,千,qiān,,,nghìn,thousand,,,
377,里边,lǐbian,,,bên trong,inside,,,
378,外边,wàibian,,,ngoài,outside,,,
379,东边,dōngbian,,,Phía đông,East,,,
380,西边,xībiān,,,Tây,West,,,
381,南边,nánbian,,,Phía nam,South,,,
382,北边,běibiān,,,Phía bắc,North,,,
383,对面,duìmiàn,,,đối diện,opposite,,,
384,后面,hòumiàn,,,sau đó,later,,,
385,前面,qiánmiàn,,,Đằng trước,Front,,,
386,上面,shàngmiàn,,,bên trên,above,,,
387,下面,xiàmiàn,,,dưới,under,,,
388,地图,dìtú,,,bản đồ,map,,,
389,还是,háishi,,,vẫn,still,,,
390,明白,míngbai,,,thông thoáng,clear,,,
391,房子,fángzi,,,căn nhà,house,,,
392,房间,fángjiān,,,Phòng,Room,,,
393,间,jiān,,,giữa,between,,,
394,照片,zhàopiàn,,,ảnh,photo,,,
395,旁边,pángbiān,,,bên cạnh,beside,,,
396,红色,hóngsè,,,màu đỏ,red,,,
397,黑色,hēisè,,,đen,black,,,
398,颜色,yánsè,,,màu sắc,color,,,
399,哭,kū,,,khóc,cry,,,
400,早,zǎo,,,buổi sáng,morning,,,
401,晚,wǎn,,,Đêm,Night,,,
402,左边,zuǒbian,,,bên trái,left,,,
403,右边,yòubian,,,Phải,right,,,
404,中间,zhōngjiān,,,ở giữa,middle,,,
405,一样,yīyàng,,,Như nhau,Same,,,
406,哎呀,āiyā,,,Ối,oops,,,
407,我的天,wǒ de tiān,,,Ôi chúa ơi,Oh My God,,,
408,车站,chēzhàn,,,ga tàu,station,,,
409,站,zhàn,,,đứng,stand,,,
410,来到,láidào,,,đến,come,,,
411,车票,chēpiào,,,vé,ticket,,,
412,机票,jīpiào,,,Vé máy bay,Airfare,,,
413,放,fàng,,,đặt,put,,,
414,钱包,qiánbāo,,,cái ví,wallet,,,
415,身上,shēnshang,,,Trên cơ thể,On body,,,
416,身边,shēnbiān,,,Xung quanh,Around,,,
417,在身边,zài shēnbiān,,,Bên cạnh,Beside,,,
418,睡,shuì,,,ngủ,sleep,,,
419,坐下,zuòxia,,,ngồi xuống,sit down,,,
420,出来,chūlái,,,đi ra ngoài,come out,,,
421,出去,chūqù,,,đi ra ngoài,go out,,,
422,有的,yǒu de,,,một số,some,,,
423,有时,yǒushí,,,Thỉnh thoảng,sometimes,,,
424,着,zhe,,,Mặc,Wearing,,,
425,考试,kǎoshì,,,làm bài kiểm tra,take an exam,,,
426,考,kǎo,,,Bài kiểm tra,Test,,,
427,难,nán,,,Thảm họa,Disaster,,,
428,问题,wèntí,,,câu hỏi,question,,,
429,最后,zuìhòu,,,cuối cùng,at last,,,
430,回答,huídá,,,trả lời,answer,,,
431,对,duì,,,Phải,right,,,
432,错,cuò,,,sai,wrong,,,
433,记得,jìde,,,Nhớ,Remember,,,
434,忘记,wàngjì,,,quên,forget,,,
435,记住,jìzhu,,,nhớ,remember,,,
436,听写,tīngxiě,,,đọc chính tả,dictation,,,
437,教,jiào,,,dạy bảo,teach,,,
438,教室,jiàoshì,,,lớp học,classroom,,,
439,教授,jiàoshòu,,,giáo sư,professor,,,
440,教学楼,jiàoxuélóu,,,Tòa nhà giảng dạy,Teaching building,,,
441,页,yè,,,Trang,Page,,,
442,课本,kèběn,,,sách giáo khoa,textbook,,,
443,课文,kèwén,,,chữ,text,,,
444,次,cì,,,Hạng hai,Second-rate,,,
445,第,dì,,,KHÔNG.,No.,,,
446,第一,dìyī,,,Đầu tiên,First,,,
447,上次,shàngcì,,,Lần trước,Last time,,,
448,下次,xiàcì,,,lần sau,next time,,,
449,住在,zhù zài,,,Cuộc sống,Living,,,
450,想,xiǎng,,,nghĩ,think,,,
451,进来,jìnlái,,,Mời vào,Come in,,,
452,进去,jìnqù,,,Đi vào,Go in,,,
453,得到,dédào,,,lấy,get,,,
454,道德,dàodé,,,Đạo đức,Morality,,,
455,日期,rìqī,,,ngày,date,,,
456,地点,dìdiǎn,,,Địa điểm,Place,,,
457,地址,dìzhǐ,,,Địa chỉ,address,,,
458,重,zhòng,,,Nặng,Heavy,,,
459,中心,zhōngxīn,,,trung tâm,center,,,
460,重心,zhòngxīn,,,Tâm trọng lực,Center of gravity,,,
461,书包,shūbāo,,,cái túi,bag,,,
462,读书,dúshū,,,đọc,read,,,
463,本子,běnzi,,,sách,book,,,
464,中文,zhōngwén,,,Trung Quốc,Chinese,,,
465,汉语,hànyǔ,,,Trung Quốc,Chinese,,,
466,班,bān,,,lớp học,class,,,
467,小学生,xiǎoxuéshēng,,,học sinh tiểu học,primary school students,,,
468,中学生,zhōngxuéshēng,,,học sinh trung học,middle school student,,,
469,有用,yǒuyòng,,,nó hoạt động,it works,,,
470,无用,wúyòng,,,vô ích,useless,,,
471,找到,zhǎodào,,,xuất hiện,turn up,,,
472,用,yòng,,,sử dụng,use,,,
473,去年,qùnián,,,năm ngoái,last year,,,
474,明年,míngnián,,,năm tới,next year,,,
475,前天,qiántiān,,,Hôm kia,The day before yesterday,,,
476,昨天,zuótiān,,,Hôm qua,yesterday,,,
477,后天,hòutiān,,,ngày kia,the day after tomorrow,,,
478,明天,míngtiān,,,Ngày mai,tomorrow,,,
479,今天,jīntiān,,,Hôm nay,today,,,
480,还没,huán méi,,,Chưa,not yet,,,
481,准备,zhǔnbèi,,,Chuẩn bị,Prepare,,,
482,知识,zhīshi,,,Kiến thức,Knowledge,,,
483,认真,rènzhēn,,,nghiêm trọng,serious,,,
484,床,chuáng,,,giường,bed,,,
485,跑步,pǎobù,,,đang chạy,running,,,
486,运动,yùndòng,,,thể thao,sports,,,
487,游泳,yóuyǒng,,,bơi,swim,,,
488,每天,měitiān,,,mỗi ngày,every day,,,
489,音乐,yīnyuè,,,âm nhạc,music,,,
490,出,chū,,,ngoài,out,,,
491,出租车,chūzūchē,,,Taxi,taxi,,,
492,公交车,gōngjiāochē,,,xe buýt,the bus,,,
493,公共汽车,gōnggòngqìchē,,,xe buýt,bus,,,
494,火车,huǒchē,,,xe lửa,train,,,
495,地铁,dìtiě,,,tàu điện ngầm,subway,,,
496,常常,chángcháng,,,Thường xuyên,Frequent,,,
497,别人,biéren,,,những người khác,other people,,,
