STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA TIẾNG VIỆT,NGHĨA TIẾNG ANH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
20,文章,wénzhāng,Danh từ,VĂN CHƯƠNG,"tác phẩm, bài văn, bài báo, văn chương (lượng từ: 篇 /piān/)",article,文章,TRUE,我写了一篇文章。,Tôi đã viết một bài báo.
21,取,qǔ,Động từ,THỦ,"lấy, rút, lĩnh; đạt được",Pick,取,TRUE,我去银行取钱。我去楼下取东西。你想给孩子取好名字。,Tôi đi ngân hàng rút tiền. Tôi xuống nhà lấy đồ. Bạn muốn chọn một cái tên hay cho con mình.
22,理发,lǐfà,Động từ ly hợp,LÍ PHÁT,cắt tóc,Haircut,理发,TRUE,我要去理发店理个发。,Tôi cần đến tiệm cắt tóc để cắt tóc.
23,理发师,lǐfàshī,Danh từ,LÍ PHÁT SƯ,"thợ cắt tóc, barber",barber,理发师,TRUE,我的哥哥是一名理发师。,Anh trai tôi là thợ cắt tóc.
24,成为,chéngwéi,Động từ,THÀNH VI,trở thành,become,成为,TRUE,我想成为一名汉语老师。,Tôi muốn trở thành giáo viên tiếng Trung.
25,干杯,gānbēi,Động từ,CAN BÔI,"cạn ly, nâng li, 123 zô",cheers,干杯,TRUE,为我们的友谊，干杯！,Cạn ly vì tình bạn của chúng ta.
26,许多,xǔduō,Số từ,HỨA ĐA,"nhiều, rất nhiều (mang sắc thái trung lập)",many,许多,TRUE,我们有许多年没见面了。,Chúng ta đã không gặp nhau nhiều năm rồi.
27,挺,tǐng,Phó từ,ĐĨNH,"rất, lắm",quite,挺,TRUE,我们的生活天天都挺幸福。,Chúng tôi luôn vui vẻ mỗi ngày.
28,情况,qíngkuàng,Danh từ,TÌNH HUỐNG,"tình huống, tình trạng, tình hình",Condition,情况,TRUE,在感觉冷的情况下，喝一杯热水会使你更舒服些。,Uống một cốc nước nóng sẽ giúp bạn cảm thấy dễ chịu hơn nếu bị lạnh.
29,倒,dǎo,Tính từ,ĐẢO,"đảo, ngược, đảo ngược",fall,倒,TRUE,福倒了。,Phúc bị đảo ngược rồi = Phúc đến rồi
30,倒,dǎo,Phó từ,ĐẢO,"tuy, nhưng, song, lại",fall,倒,TRUE,这家饭店的菜很不错，倒有点儿贵。,"Đồ ăn ở nhà hàng này rất ngon, nhưng giá hơi cao."
31,法律,fǎlǜ,Danh từ,PHÁP LUẬT,pháp luật,law,法律,TRUE,他的行业是法律的。,Nghề nghiệp của anh ấy là luật sư.
32,俩,liǎ,Số từ,LƯỠNG,hai,both,俩,TRUE,你们俩是怎么认识的？,Hai người gặp nhau như thế nào?
33,印象,yìnxiàng,Danh từ,ẤN TƯỢNG,ấn tượng,impression,印象,TRUE,他给我的印象很好。,Anh ấy đã để lại ấn tượng rất tốt với tôi.
34,深,shēn,Tính từ,THÂM,"sâu, thẫm, sâu sắc",deep,深,TRUE,我对他印象很深。,Tôi rất ấn tượng với anh ấy.
35,熟悉,shúxī,"Động từ, Tính từ",THỤC TẤT,"hiểu rõ (ai đó), quen thuộc, quen với (nơi nào đó)",familiar,熟悉,TRUE,我们然后慢慢熟悉。,"Sau đó, chúng tôi dần dần hiểu nhau hơn."
36,不仅,bùjǐn,Liên từ,BẤT CẨN,"không những, chẳng những",not only,不仅,TRUE,他不仅足球踢得好，性格也不错。,Anh ấy không chỉ giỏi bóng đá mà còn có tính cách tốt.
37,不仅仅,bùjǐnjǐn,Phó từ,BẤT CẨN CẨN,"không chỉ là, không những là (tăng sắc thái biểu cảm)",Not only,不仅仅,TRUE,这不仅仅是我个人的意见，也是大家的想法。,Đây không chỉ là ý kiến của riêng cá nhân tôi mà còn là suy nghĩ của mọi người.
38,性格,xìnggé,Danh từ,TÍNH CÁCH,"tính cách, tính tình, tính nết",character,性格,TRUE,我有幽默的性格。,Tôi có tính cách hài hước.
39,开玩笑,kāiwánxiào,Động từ,KHAI NGOẠN TIẾU,"giỡn, đùa, nói đùa, trêu chọc",joke,开玩笑,TRUE,你不是在开玩笑吗？,Bạn đang đùa tôi à?
40,从来,cónglái,Phó từ,TÒNG LAI,"từ trước đến giờ, từ trước đến nay (diễn tả trải nghiệm, thường dùng trong câu phủ định, hoặc trong câu khẳng định diễn tả 1 sự việc luôn diễn ra như vậy từ trước giờ)",Never,从来,TRUE,我从来没这么快乐过。,Tôi chưa bao giờ hạnh phúc đến thế.
41,最好,zuìhǎo,Phó từ,TỐI HẢO,tốt nhất (nên),most,最好,TRUE,你最好回家越早越好把，外面快下雪了。,Tốt hơn hết là bạn nên về nhà càng sớm càng tốt; ngoài trời sắp có tuyết rơi rồi.
42,共同,gòngtóng,Tính từ,CỘNG ĐỒNG,"chung, cùng, giống nhau",common,共同,TRUE,我们有共同的目标、共同的兴趣使我们成为好朋友。,"Chúng ta có những mục tiêu và sở thích chung, điều đó khiến chúng ta trở thành những người bạn tốt."
43,合适,héshì,Tính từ,HỢP THÍCH,"hợp, thích hợp, vừa vặn",suitable,合适,TRUE,弟弟这几天非常开心因为他终于找到了合适的工作。,Mấy ngày nay em trai tôi rất vui vì cuối cùng cũng tìm được một công việc phù hợp.
44,适合,shìhé,Tính từ,THÍCH HỢP,"thích hợp, phù hợp",Suitable,适合,TRUE,看起来你真的找到适合你的爱人了。,Có vẻ như bạn đã thực sự tìm được người phù hợp với mình rồi.
45,幸福,xìngfú,"Tính từ, Danh từ",HẠNH PHÚC,"hạnh phúc, sự hạnh phúc",happiness,幸福,TRUE,幸福简单就是有爱人在家等你下班后回去。,Hạnh phúc thật đơn giản: đó là khi người thân yêu đang chờ đón bạn ở nhà sau giờ làm việc.
46,生活,shēnghuó,"Danh từ, Động từ",SINH HOẠT,"cuộc sống, sinh sống, sống",Life,生活,TRUE,两个人一起生活，一定有很多问题。,"Khi hai người sống chung với nhau, chắc chắn sẽ nảy sinh nhiều vấn đề."
47,浪漫,làngmàn,Tính từ,LÃNG MẠN,lãng mạn,romantic,浪漫,TRUE,和爱人在海边走走是个很浪漫的事情。,Đi dạo trên bãi biển cùng người yêu là một điều rất lãng mạn.
48,够,gòu,"Động từ, Tính từ, Phó từ",CẤU,"(v): đủ; với, với tới; (adj): đủ; (adv): đủ, thật là (thể hiện mức độ cao)",enough,够,TRUE,你带的钱够不够？,Bạn có đủ tiền không?
49,缺点,quēdiǎn,Danh từ,KHUYẾT ĐIỂM,"khuyết điểm, điểm yếu, thiếu sót",shortcoming,缺点,TRUE,每个人都有自己的缺点，更重要的是改变自己的缺点成优点。,"Ai cũng có những điểm yếu riêng, nhưng điều quan trọng hơn là biến những điểm yếu đó thành điểm mạnh."
50,优点,yōudiǎn,Danh từ,ƯU ĐIỂM,"ưu điểm, điểm mạnh",advantage,优点,TRUE,我的优点是我会做菜。,Điểm mạnh của tôi là tôi biết nấu ăn.
51,接受,jiēshòu,Động từ,TIẾP THỤ,"chấp nhận, tiếp thu, tiếp nhận",accept,接受,TRUE,只有接受对方的性格，你们俩才能更好地一起生活。,"Chỉ khi chấp nhận tính cách của nhau, hai người mới có thể sống chung với nhau tốt hơn."
52,羡慕,xiànmù,Động từ,TIỆN MỘ,"ngưỡng mộ, hâm mộ",envious,羡慕,TRUE,不用羡慕别人的生活，只要好好走自己选择的路就好了。,"Không cần phải ngưỡng mộ cuộc sống của người khác, chỉ cần đi đúng con đường mà bản thân lựa chọn là được rồi."
53,爱情,àiqíng,Danh từ,ÁI TÌNH,tình yêu,love,爱情,TRUE,电影里的爱情故事很有意思。,Câu chuyện tình yêu trong phim rất thú vị.
54,星星,xīngxing,Danh từ,TINH TINH,ngôi sao,Star,星星,TRUE,今晚的星星太漂亮。,Những vì sao đêm nay thật đẹp.
55,即使,jíshǐ,Liên từ,TỨC SỬ,cho dù,even though,即使,TRUE,即使每天工作都很忙，我都会花时间锻炼身体。,"Mặc dù rất bận rộn với công việc mỗi ngày, tôi vẫn dành thời gian để tập thể dục."
56,加班,jiābān,Động từ,GIA BAN,"tăng ca, làm thêm giờ",work overtime,加班,TRUE,今天我要加班到零点，真的累啊!,"Hôm nay tôi phải làm việc đến nửa đêm, tôi mệt quá!"
57,亮,liàng,Động từ,LƯỢNG,"chiếu sáng, tỏa sáng",Bright,亮,TRUE,回家时，自己家里还亮着灯。,"Khi tôi về đến nhà, đèn trong nhà vẫn còn sáng."
58,感动,gǎndòng,Động từ,CẢM ĐỘNG,"cảm động, xúc động",move,感动,TRUE,你的关心让我非常感动。,Sự quan tâm của bạn đã khiến tôi vô cùng cảm động.
59,感到,gǎndào,Động từ,CẢM ĐÁO,cảm thấy,feel,感到,TRUE,老师刚才的批评让学生们感到很难过。,Lời phê bình của giáo viên vừa rồi đã khiến các học sinh cảm thấy rất buồn.
60,想到,xiǎngdào,Động từ,TƯỞNG ĐÁO,"nghĩ tới, nghĩ đến, nhớ tới/đến",think,想到,TRUE,我想到我妈妈的故事。,Tôi nhớ lại câu chuyện của mẹ tôi.
61,自然,zìrán,"Phó từ, Tính từ, Danh từ",TỰ NHIÊN,"tự nhiên, thiên nhiên; đương nhiên",nature,自然,TRUE,说到爱情，我们很自然想到浪漫的故事。,"Khi nói về tình yêu, chúng ta thường nghĩ đến những câu chuyện lãng mạn."
62,原因,yuányīn,Danh từ,NGUYÊN NHÂN,nguyên nhân,reason,原因,TRUE,主要的原因使你今天早上感觉累是你昨天晚上很晚才睡觉。,Lý do chính khiến bạn cảm thấy mệt mỏi sáng nay là vì bạn đi ngủ rất muộn tối qua.
63,更,gēng,Phó từ,CANH,càng,Even,更,TRUE,他长大得更帅。,"Càng lớn lên, cậu ấy càng đẹp trai hơn."
64,互相,hùxiāng,Phó từ,HỖ TƯƠNG,"lẫn nhau, với nhau, qua lại",each other,互相,TRUE,我们应该互相帮助因为我们是好朋友。,Chúng ta nên giúp đỡ lẫn nhau vì chúng ta là bạn tốt.
65,吸引,xīyǐn,Động từ,HẤP DẪN,"hấp dẫn, thu hút ",attract,吸引,TRUE,这个地方每年吸引很多旅客因为不仅风景很美而且环境很新鲜。,Nơi này thu hút rất nhiều khách du lịch mỗi năm nhờ phong cảnh tuyệt đẹp và môi trường trong lành.
66,幽默,yōumò,Tính từ,U MẶC,"hài hước, dí dỏm, vui tính, hóm hĩnh",humor,幽默,TRUE,我男友是个幽默的人，即使是很普通的事，从他嘴里说出来也会变得很有意思。,Bạn trai tôi là người hài hước; ngay cả những điều bình thường nhất cũng trở nên thú vị khi anh ấy kể về chúng.
67,普通,pǔtōng,Tính từ,PHỔ THÔNG,"bình thường, thông thường",ordinary,普通,TRUE,这是一件很普通得事情，你不要生气。,"Đây là chuyện rất bình thường, đừng tức giận."
68,脾气,píqi,Danh từ,TÌ KHÍ,"tính khí, tính tình",temper,脾气,TRUE,他的脾气很冷静，我从来没看过他生谁的气。,Anh ấy có tính khí rất điềm tĩnh; tôi chưa bao giờ thấy anh ấy nổi giận với ai cả.
69,改到,gǎi dào,Động từ,CẢI ĐÁO,"sửa thành, đổi thành, biến thành",Change to,改到,TRUE,今天会议的时间改到明天下午三点。,Thời gian họp hôm nay đã được dời sang 3 giờ chiều ngày mai.
70,改成,gǎichéng,Động từ,CẢI THÀNH,"sửa thành, đổi thành, biến thành",Change to,改成,TRUE,他的名字改成”张文“。,"Ông ta đã đổi tên thành ""Zhang Wen""."
71,长大,zhǎngdà,Động từ,TRƯỞNG ĐẠI,"trưởng thành, lớn lên",grow up,长大,TRUE,他长大得又高又帅，女孩子谁都特别喜欢做他的女朋友。,"Lớn lên, cậu ấy cao ráo và đẹp trai, và cô gái nào cũng muốn làm bạn gái của cậu ấy."
72,变成,biànchéng,Động từ,BIẾN THÀNH,"biến thành, trở thành",become,变成,TRUE,这个地方变成一个很美的城市。,Nơi này đã trở thành một thành phố rất xinh đẹp.
73,带来,dàilái,Động từ,ĐỚI LAI,"đem lại, mang lại, mang đến",bring,带来,TRUE,我认为读大学会带来更多的好机会。,Tôi tin rằng việc học đại học sẽ mang lại nhiều cơ hội tốt hơn.
74,有说不完的话,yǒu shuōbùwán dehuà,Cụm từ,HỮU THUYẾT BẤT HOÀN ĐÍCH THOẠI,nói không hết chuyện,There's so much to say,有说不完的话,TRUE,我们很久没见了，有说不完的话。我们说到晚上还想再说。,"Đã lâu rồi chúng tôi không gặp nhau, và có rất nhiều chuyện để nói. Thậm chí chúng tôi còn muốn tiếp tục trò chuyện đến tận tối."
75,大部分,dàbùfen,Danh từ,ĐẠI BỘ PHẬN,"đại bộ phận, đa số, phần lớn",most,大部分,TRUE,现在大部分每个人都有自己的车。,"Ngày nay, hầu hết mọi người đều sở hữu một chiếc ô tô."
76,饮食,yǐnshí,Danh từ,ẨM THỰC,ẩm thực,diet,饮食,TRUE,越南的饮食很丰富。,Ẩm thực Việt Nam rất đa dạng.
77,看法,kànfǎ,Danh từ,KHÁN PHÁP,"ý kiến, quan điểm, góc nhìn",view,看法,TRUE,你对这个问题的看法是怎么样？,Bạn nghĩ sao về vấn đề này?
78,方面,fāngmiàn,Danh từ,PHƯƠNG DIỆN,"phương diện, khía cạnh, lĩnh vực, mặt",aspect,方面,TRUE,在这个方面上，我认为没有最好的解决办法。,"Xét về phương diện này, tôi cho rằng không có cách giải quyết tốt nhất cho vấn đề này."
79,随便,suíbiàn,Tính từ,TÙY TIỆN,"đại, bừa, tùy tiện, ngẫu nhiên; tự nhiên, thoải mái",casual,随便,TRUE,我随便选择一张报纸，但是看完后我就感动地哭了。,"Tôi chọn ngẫu nhiên một tờ báo, nhưng sau khi đọc xong, tôi đã xúc động đến rơi nước mắt."
80,对方,duìfāng,Danh từ,ĐỐI PHƯƠNG,đối phương,other side,对方,TRUE,你知不知道对方有什么缺点？,Bạn có biết những điểm yếu của người kia là gì không?
81,恋爱,liànài,Danh từ,LUYẾN ÁI,tình yêu,in love,恋爱,TRUE,你要调查对方的恋爱情况。,Bạn cần tìm hiểu tình trạng quan hệ tình cảm của người kia.
82,调查,diàochá,"Động từ, Danh từ",ĐIỀU TRA,"điều tra, khảo sát; cuộc điều tra, cuộc khảo sát",investigation,调查,TRUE,你可以帮我调查这件事请吗？,Bạn có thể giúp tôi điều tra vụ việc này được không?
83,表,biǎo,Danh từ,BIỂU,"biểu, bảng, bảng biểu",surface,表,TRUE,请完成这个表。,Vui lòng điền đầy đủ thông tin vào mẫu đơn này.
84,理想,lǐxiǎng,"Danh từ, Tính từ",LÝ TƯỞNG,"(n): lý tưởng, ước mơ, ước vọng; (adj): tốt, lý tưởng",ideal,理想,TRUE,你理想的男朋友有什么标准？,Mẫu bạn trai lý tưởng của bạn có những tiêu chuẩn gì?
85,最少,zuìshǎo,Phó từ,TỐI THIỂU,"tối thiểu, ít nhất",least,最少,TRUE,这次比赛有最少一万人参加。,Ít nhất 10.000 người đã tham gia cuộc thi này.
86,改变,gǎibiàn,"Danh từ, Động từ",CẢI BIẾN,"thay đổi, biến đổi, sự thay đổi",Change,改变,TRUE,听了他说以后，我改变了我对生活的看法。,"Sau khi nghe ông ấy nói, quan điểm sống của tôi đã thay đổi."
87,感情,gǎnqíng,Danh từ,CẢM TÌNH,tình cảm,emotion,感情,TRUE,两个人在一起，最重要的是感情。,"Khi hai người ở bên nhau, điều quan trọng nhất là tình cảm họ dành cho nhau."
88,活泼,huópo,Tính từ,HOẠT BÁT,"hoạt bát, năng động, nhanh nhẹn",lively,活泼,TRUE,他是一个又可爱又活泼的男孩。,Nó là một cậu bé vừa dễ thương vừa hoạt bát.
89,困难,kùnnán,"Tính từ, Danh từ",KHỐN NAN,"khó khăn, sự khó khăn",difficulty,困难,TRUE,遇到困难的时候，不要害怕。因为来解决困难会帮我们更长大。,Đừng sợ hãi khi gặp khó khăn. Bởi vì vượt qua khó khăn sẽ giúp chúng ta mạnh mẽ hơn.
90,来自,láizì,Động từ,LAI TỰ,đến từ,From,来自,TRUE,我来自越南。,Tôi đến từ Việt Nam.
91,离婚,líhūn,Động từ,LY HÔN,ly hôn,divorce,离婚,TRUE,他们结婚不到两年就离婚了。,Bọn họ kết hôn chưa đầy hai năm thì đã ly hôn.
92,批评,pīpíng,"Động từ, Danh từ",PHÊ BÌNH,"phê bình, bình luận, góp ý; lời phê bình, lời bình phẩm",criticize,批评,TRUE,虽然他工作很努力，但是还被老板批评了。,"Mặc dù anh ấy đã làm việc rất chăm chỉ, nhưng vẫn bị cấp trên chỉ trích."
93,相同,xiāngtóng,Tính từ,TƯƠNG ĐỒNG,"tương đồng, giống nhau",same,相同,TRUE,我和他有很多相同的爱好和兴趣。,Tôi và anh ấy có nhiều sở thích và đam mê chung.
94,约会,yuēhuì,"Danh từ, Động từ ly hợp",ƯỚC HỘI,"cuộc hẹn hò, cuộc hẹn, hẹn gặp",Dating,约会,TRUE,他很紧张，因为这是他们第一次约会。,Anh ấy lo lắng vì đó là buổi hẹn hò đầu tiên của họ.
95,永远,yǒngyuǎn,Phó từ,VĨNH VIỄN,"vĩnh viễn, mãi mãi, luôn luôn",forever,永远,TRUE,祝福你永远开心快乐幸福平安！,"Chúc bạn luôn luôn vui vẻ, hạnh phúc và bình an!"
96,不好意思,bùhǎoyìsi,Cụm từ,BẤT HẢO Ý TỨ,"xin lỗi, ngại quá (ngữ khí nhẹ nhàng, lịch sự, dùng khi gây ra sự bất tiện, làm phiền hoặc cảm thấy áy náy)",Excuse me,不好意思,TRUE, 不好意思，我刚才有电话， 不能跟你说话。,"Tôi xin lỗi, tôi vừa nghe điện thoại xong và không thể nói chuyện với bạn được."
97,打招呼,dǎzhāohu,Cụm từ,ĐẢ CHIÊU HÔ,"chào, chào hỏi",greet,打招呼,TRUE,啊，那是小王！我去那边跟他打个招呼！,"À, kia là Tiểu Vương! Mình sẽ đến đó chào hỏi cậu ấy!"
98,对话,duìhuà,"Danh từ, Động từ",ĐỐI THOẠI,"đối thoại, hội thoại; lời đối thoại, lời thoại",dialogue,对话,TRUE, 电影中的对话很容易明白。,Lời thoại trong phim rất dễ hiểu.
99,超过,chāoguò,Động từ,SIÊU QUÁ,"hơn, vượt qua, vượt quá",Exceed,超过,TRUE,超过五百个人参加这次比赛。,Hơn 500 người tham gia cuộc thi lần này.
100,等,děng,Trợ từ,ĐẲNG,"vân vân, v.v",wait,等,TRUE,妹妹喜欢吃香蕉、西瓜、葡萄等。,"Em gái thích ăn chuối, dưa hấu, nho, v.v"
101,登机牌,dēngjīpái,Danh từ,ĐĂNG CƠ BÀI,thẻ lên máy bay,Boarding pass,登机牌,TRUE,上飞机前要检查登机牌。,Bạn cần kiểm tra thẻ lên máy bay trước khi lên máy bay.
102,通知,tōngzhī,Danh từ,THÔNG TRI,"thông báo, thông cáo",notify,通知,TRUE,学校发了通知，明天不上课。,Nhà trường đã gửi thông báo ngày mai không phải đi học.
103,通知,tōngzhī,Động từ,THÔNG TRI,"thông báo, báo tin",notify,通知,TRUE,他对我通知了会议时间改成下周一了。,Anh ấy thông báo với tôi rằng thời gian họp đã được dời sang thứ Hai tuần sau.
104,乘坐,chéngzuò,Động từ,THỪA TỌA,"đi, ngồi, sử dụng (phương tiện giao thông)",ride,乘坐,TRUE,我们乘坐飞机去中国旅游。,Chúng tôi đã đi Trung Quốc bằng máy bay.
105,乘客,chéngkè,Danh từ,THỪA KHÁCH,hành khách,passenger,乘客,TRUE,乘客您好，我们很抱歉地通知您们，由于天气原因，您乘坐的 VN136 航班推迟起飞。,"Kính gửi quý hành khách, chúng tôi rất tiếc phải thông báo rằng chuyến bay VN136 của quý khách bị hoãn do điều kiện thời tiết."
106,推迟,tuīchí,Động từ,THÔI TRÌ,"hoãn, dời lại, lùi lại, trì hoãn",put off,推迟,TRUE,老师通知我们英语考试推迟下个星期五。,Giáo viên của chúng tôi thông báo rằng kỳ thi tiếng Anh đã được hoãn đến thứ Sáu tuần sau.
107,签证,qiānzhèng,Danh từ,THIÊM CHỨNG,"thị thực, visa",visa,签证,TRUE,我的签证还没办好，出不了外国。,"Visa của tôi vẫn chưa làm xong, không thể đi nước ngoài được."
108,座位,zuòwèi,Danh từ,TỌA VỊ,chỗ ngồi,seat,座位,TRUE,不好意思，请问这个座位有人坐吗？,"Xin lỗi, chỗ này có người ngồi chưa?"
109,广播,guǎngbō,"Danh từ, Động từ",QUẢNG BÁ,"chương trình phát thanh, chương trình phát sóng; phát sóng, tuyên truyền, truyền bá",broadcast,广播,TRUE, 机场的广播通知他们的航班降落了。,Thông báo trên sân bay cho biết chuyến bay của họ đã hạ cánh.
110,国籍,guójí,Danh từ,QUỐC TỊCH,quốc tịch,Country of Citizenship,国籍,TRUE,飞机上有不同国籍的乘客。,Trên máy bay có hành khách đến từ nhiều quốc tịch khác nhau.
111,国际,guójì,"Tính từ, Danh từ",QUỐC TẾ,quốc tế,internationality,国际,TRUE,我们学校有很多国际学生。,Trường chúng tôi có rất nhiều học sinh quốc tế.
112,怀疑,huáiyí,Động từ,HOÀI NGHI,"nghi, nghi ngờ, hoài nghi",Suspect,怀疑,TRUE,你要相信自己，不要怀疑自己。,Bạn phải tin tưởng vào bản thân và không được nghi ngờ chính mình.
113,冷静,lěngjìng,Tính từ,LÃNH TĨNH,"vắng vẻ, vắng lặng, yên tĩnh; bình tĩnh, điềm tĩnh, tỉnh táo",calm,冷静,TRUE,他非常冷静地解决了这个问题。,Anh ấy đã rất bình tĩnh giải quyết vấn đề này.
114,排列,páiliè,Động từ,BÀI LIỆT,"sắp xếp, xếp đặt (theo thứ tự)",arrangement,排列,TRUE,把这些水果排列在盘子里。,Sắp xếp các loại trái cây này lên đĩa.
115,增加,zēngjiā,Động từ,TĂNG GIA,tăng thêm,Increase,增加,TRUE,最近小明增加了学习时间。,"Gần đây, Xiaoming đã tăng thời gian học tập của mình."
116,直接,zhíjiē,Tính từ,TRỰC TIẾP,"trực tiếp, thẳng; thẳng thắn, lập tức",direct,直接,TRUE,你可以直接问老师这个问题。,Bạn có thể hỏi trực tiếp giáo viên của mình câu hỏi này.
117,收拾,shōushi,Động từ,THU THẬP,"thu dọn, dọn dẹp, chỉnh đốn",tidy,收拾,TRUE,吃完饭后，我帮妈妈收拾桌子。,"Sau khi ăn xong, tôi giúp mẹ thu dọn (dọn dẹp) bàn."
118,安排,ānpái,"Động từ, Danh từ",AN BÀI,"sắp đặt, sắp xếp, thu xếp, bố trí; kế hoạch, sự sắp đặt, sự bố trí",arrange,安排,TRUE,我不同意你的安排。,Tôi không đồng ý với sự sắp xếp của bạn.
119,风景,fēngjǐng,Danh từ,PHONG CẢNH,phong cảnh,landscape,风景,TRUE,他画了一幅很漂亮的风景画儿。,Ông ấy đã vẽ một bức tranh phong cảnh rất đẹp.
120,笔记,bǐjì,"Động từ, Danh từ",BÚT KÝ,"(bài) ghi chép, bút ký",notes,笔记,TRUE,学生们一边听老师讲，一边做笔记。,Các học sinh vừa lắng nghe giáo viên giảng bài vừa ghi chép.
121,来得及,láidejí,Động từ,LAI ĐẮC CẬP,"kịp, còn kịp, chưa muộn",It's not too late,来得及,TRUE,还有半个小时，你放心吧，我们来得及上火车。,"Vẫn còn nửa tiếng nữa, bạn yên tâm đi, chúng ta vẫn kịp lên tàu hỏa."
122,来不及,láibují,Động từ,LAI BẤT CẬP,"không kịp, muộn rồi",Too late,来不及,TRUE,飞机快要起飞了，他来不及上飞机了。,"Máy bay sắp cất cánh rồi, anh ấy không kịp lên máy bay nữa."
